Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction,NJ,WE,RA,AL,RF,SA
Okay. Would it help to time the deep breathing with reviewing each one of those bullet points?,T,2.0,-1.0,1.0,0.0,-2.0,0.0,80_2,,presentation,routine,orq,,0.534999999999999,0.455,0.526166666666666,,,80.csv,"Therapist: Do you have on your presentation? Do you have so many? Like bullet points you want to cover? Like,
Patient: yeah, okay, like an outline sort of thing.","It sounds like you're feeling a bit overwhelmed with your presentation. You're thinking about organizing your thoughts and creating an outline, and you're wondering if you have everything you need. It sounds like you're feeling a bit anxious about how you'll present and what you'll cover.",1,1,0,2,-2,0
"I don't know how many bullet points you'd have in a presentation. Maybe you'd have 10 or 20. Yeah, depending on how long right so maybe you as you start to review a certain bullet point As you're trying to get it into your memory and think about it, you breathe in really deeply. And then as you continue on, you just let out that breath really slowly,",T,2.0,-1.0,2.0,-2.0,-2.0,0.0,80_4,,deep breathing,routine,id,,0.659388888888888,0.431444444444444,0.582555555555555,,,80.csv,"Therapist: Do you have on your presentation? Do you have so many? Like bullet points you want to cover? Like,
Patient: yeah, okay, like an outline sort of thing.
Therapist: Okay. Would it help to time the deep breathing with reviewing each one of those bullet points?
Patient: We never thought about that.","Therapist: ""That's a great idea. It can really help you stay focused and ensure that you cover all the key points. It might also help you to better connect with the material and make it more engaging for your audience. Would you like to try it out and see how it feels?""",2,2,0,2,-2,2
" I thought about it that way. I'm just thinking it'd be some way to structure. So you would, you would get in so many breaths,",T,2.0,-1.0,2.0,-2.0,-2.0,0.0,80_6,,deep breathing,routine,id,,0.647166666666666,0.357333333333333,0.539,,,80.csv,"Therapist: Okay. Would it help to time the deep breathing with reviewing each one of those bullet points?
Patient: We never thought about that.
Therapist: I don't know how many bullet points you'd have in a presentation. Maybe you'd have 10 or 20. Yeah, depending on how long right so maybe you as you start to review a certain bullet point As you're trying to get it into your memory and think about it, you breathe in really deeply. And then as you continue on, you just let out that breath really slowly,
Patient: like a rhythm sort of, huh? Yeah. Can you go and do the same thing?","Therapist: That's a great idea. Let's try it together. (pauses) Okay, I'm going to take a deep breath in... (pauses again) and then I'm going to let it out slowly... (pauses again) Like that rhythm. (pauses once more) How does that feel?",2,2,2,2,1,2
"Yeah, something that kind of becomes a habit. Okay. Just make sure you keep your bullet points of length. About a few paragraphs. Yeah. But just just a few seconds each. So you can get a good deep breath and, or you could, you know, if you did have a longer bullet point, you could have obviously, several breaths, but just some rhythm that you could kind of grab on to something concrete. Yeah. Because I know that. In that moment, things are probably like you mentioned zoning out and right It becomes very easy to lose your anchors.",T,0.0,-1.0,2.0,2.0,2.0,0.0,80_8,,deep breathing,story,id,,0.659173913043478,0.431826086956521,0.553869565217391,,,80.csv,"Therapist: I don't know how many bullet points you'd have in a presentation. Maybe you'd have 10 or 20. Yeah, depending on how long right so maybe you as you start to review a certain bullet point As you're trying to get it into your memory and think about it, you breathe in really deeply. And then as you continue on, you just let out that breath really slowly,
Patient: like a rhythm sort of, huh? Yeah. Can you go and do the same thing?
Therapist:  I thought about it that way. I'm just thinking it'd be some way to structure. So you would, you would get in so many breaths,
Patient: something I wouldn't forget. Yeah.","Therapist: It sounds like you're thinking about how you might use breathing as a way to organize your thoughts and ideas. You're trying to find a way to make it more memorable. It's almost like you're using a physical sensation to help you recall a concept. You're using the sensation of breathing in and out to create a rhythm, and that's a great way to do that.",2,-1,0,2,1,2
"Yeah, so if you can remember, you know, for a particular bullet point that you want to take three deep breaths. And that might be something you can really have one too. Yeah. And would we kind of cut through that fogginess something could still do. Okay. When's the next presentation in that class that's coming up?",T,0.0,-1.0,0.0,-1.0,-2.0,0.0,80_10,,presentation and anxiety,routine,irq,,0.633166666666666,0.410222222222222,0.501944444444444,,,80.csv,"Therapist:  I thought about it that way. I'm just thinking it'd be some way to structure. So you would, you would get in so many breaths,
Patient: something I wouldn't forget. Yeah.
Therapist: Yeah, something that kind of becomes a habit. Okay. Just make sure you keep your bullet points of length. About a few paragraphs. Yeah. But just just a few seconds each. So you can get a good deep breath and, or you could, you know, if you did have a longer bullet point, you could have obviously, several breaths, but just some rhythm that you could kind of grab on to something concrete. Yeah. Because I know that. In that moment, things are probably like you mentioned zoning out and right It becomes very easy to lose your anchors.
Patient: Yeah, exactly. And just get really foggy, almost dizzy.","It sounds like you're feeling a sense of disorientation and disconnection from your breath, and it's making it hard to focus. You're thinking about how it might help to have a structured approach, like a rhythm or a set of reminders, to help you stay grounded. You're also aware that when you're feeling this way, you might get lost in your thoughts and lose your sense of control. It's like your mind is zoning out and you're feeling a bit dizzy.",1,2,0,-1,1,2
Is that the next presentation you have? Like in all the classes is the one,T,1.0,1.0,2.0,-1.0,-2.0,0.0,80_12,,presentation and anxiety,routine,yq,,0.684333333333333,0.416333333333333,0.456333333333333,,,80.csv,"Therapist: Yeah, something that kind of becomes a habit. Okay. Just make sure you keep your bullet points of length. About a few paragraphs. Yeah. But just just a few seconds each. So you can get a good deep breath and, or you could, you know, if you did have a longer bullet point, you could have obviously, several breaths, but just some rhythm that you could kind of grab on to something concrete. Yeah. Because I know that. In that moment, things are probably like you mentioned zoning out and right It becomes very easy to lose your anchors.
Patient: Yeah, exactly. And just get really foggy, almost dizzy.
Therapist: Yeah, so if you can remember, you know, for a particular bullet point that you want to take three deep breaths. And that might be something you can really have one too. Yeah. And would we kind of cut through that fogginess something could still do. Okay. When's the next presentation in that class that's coming up?
Patient: The next one, I believe is next Friday.",Therapist: I'm glad you're thinking about that. It sounds like you're feeling a bit anxious about it. It's completely normal to feel that way. Can you tell me more about what's going through your mind when you're getting ready for that presentation? What are some of the thoughts that come up for you?,1,1,0,-1,-2,0
Okay. And that's next Friday. Mm hmm. Do you know where you are in the order? Like for presenting?,T,2.0,1.0,2.0,2.0,-2.0,0.0,80_14,,presentation and anxiety,routine,irq,,0.718,0.420666666666666,0.561999999999999,,,80.csv,"Therapist: Yeah, so if you can remember, you know, for a particular bullet point that you want to take three deep breaths. And that might be something you can really have one too. Yeah. And would we kind of cut through that fogginess something could still do. Okay. When's the next presentation in that class that's coming up?
Patient: The next one, I believe is next Friday.
Therapist: Is that the next presentation you have? Like in all the classes is the one
Patient: Yeah.","Therapist: It sounds like you're feeling a bit anxious about the upcoming presentation. It's completely normal to feel that way, especially when you're looking forward to sharing your ideas with others. Can you tell me more about what's on your mind when you think about that presentation? What are some of the thoughts that come up for you?",1,1,0,-1,-2,0
not first. And this one's how many minutes,T,1.0,0.0,1.0,0.0,0.0,-1.0,80_16,,presentation and anxiety,routine,irq,,0.0,0.0,0.0,,,80.csv,"Therapist: Is that the next presentation you have? Like in all the classes is the one
Patient: Yeah.
Therapist: Okay. And that's next Friday. Mm hmm. Do you know where you are in the order? Like for presenting?
Patient: Um, I think I'm actually third in this one.",Therapist: That's right. You're in the third class. I see. It sounds like you're feeling a bit anxious about presenting in front of your peers. It's completely normal to feel that way. Can you tell me more about what's been going on that's making you feel anxious?,1,1,0,-1,-2,0
"Okay, it's a little shorter than 20 minutes. So you have about a half hour, maybe a little more, if there's time to switch out of kind of sitting there, right. And potential time where you could be anxious. Yes, but also potential time and you could be reviewing the notes your bullet points and breathing.",T,1.0,2.0,0.0,-1.0,-2.0,2.0,80_18,,presentation and anxiety,story,id,,0.611866666666666,0.353,0.534933333333333,,,80.csv,"Therapist: Okay. And that's next Friday. Mm hmm. Do you know where you are in the order? Like for presenting?
Patient: Um, I think I'm actually third in this one.
Therapist: not first. And this one's how many minutes
Patient: I'm like 15 or so.","Therapist: It sounds like you're feeling a bit uncertain about your position in the order. You're thinking about the upcoming presentation, and you're wondering how many minutes you have left. It's completely normal to feel that way. Can you tell me more about what's on your mind?",1,1,0,2,1,2
"And saying to yourself, that's so like, kind of self talk, that they're not really paying attention to me anyway. Right. Right. Because that might help reduce that. That anxiety. Yeah. What's one thing you could say to yourself when you're up there?",T,1.0,1.0,0.0,-1.0,1.0,0.0,80_20,,presentation and anxiety,routine,irq,,0.602,0.351,0.475,,,80.csv,"Therapist: not first. And this one's how many minutes
Patient: I'm like 15 or so.
Therapist: Okay, it's a little shorter than 20 minutes. So you have about a half hour, maybe a little more, if there's time to switch out of kind of sitting there, right. And potential time where you could be anxious. Yes, but also potential time and you could be reviewing the notes your bullet points and breathing.
Patient: Yeah.","Therapist: It sounds like you're feeling a bit anxious about the time, and also a bit uncertain about the session. You're not sure if you'll be able to focus and switch out of the sitting position, and you're worried about reviewing the notes and breathing. Can you tell me more about what's on your mind?",1,1,0,2,1,0
