Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction,NJ,WE,RA,AL,RF,SA
I'm doing well. Thank you for asking. I understand you've been having some symptoms that have been bothering you lately.,T,2.0,0.0,0.0,-2.0,1.0,2.0,18_2,,greeting,inactive,gt,,0.67075,0.47,0.55275,,,18.csv,"Therapist: How are you doing today?
Patient: I'm doing good thanks. How are you?",I'm doing well. Thanks for asking. How are you doing today?,2,2,-2,-2,-2,2
Can you? Can you tell me about that?,T,2.0,0.0,0.0,-2.0,1.0,2.0,18_3,,greeting,inactive,irq,,0.625,0.356666666666666,0.455,,,18.csv,"Therapist: How are you doing today?
Patient: I'm doing good thanks. How are you?
Therapist: I'm doing well. Thank you for asking. I understand you've been having some symptoms that have been bothering you lately.",So you've been having some symptoms that have been bothering you.,2,2,0,-1,1,-1
Someone someone was robbed. near where you live.,T,1.0,1.0,0.0,-1.0,-2.0,-1.0,18_7,,fear of roberry,inactive,crq,,0.0,0.0,0.0,,,18.csv,"Therapist: Can you? Can you tell me about that?
Patient: Well, I just moved into an apartment.
Patient: It's the first time that
Patient: I'm on my own. And I kind of had heard that someone got robbed and ever since then. I'm kind of nervous about my apartment getting robbed.",So you're concerned about your apartment being robbed.,2,1,0,2,1,2
How long does it take you to fall back to sleep?,T,1.0,1.0,2.0,-1.0,-2.0,0.0,18_10,,fear of roberry,routine,irq,,0.496,0.475,0.362,,,18.csv,"Patient: I'm on my own. And I kind of had heard that someone got robbed and ever since then. I'm kind of nervous about my apartment getting robbed.
Therapist: Someone someone was robbed. near where you live.
Patient: Yeah. Someone in the same complex. Okay. So Sometimes when I'm sleeping, I'll wake up in the middle of the night, and I'll think that
Patient: I locked the door. Is the door locked? And I can't fall back asleep.",So you're worried that someone could have come in and broken in.,1,1,0,2,1,0
And what are you thinking about during that time?,T,1.0,1.0,0.0,-1.0,-2.0,0.0,18_12,,fear of roberry,routine,irq,,0.72,0.308,0.595,,,18.csv,"Patient: Yeah. Someone in the same complex. Okay. So Sometimes when I'm sleeping, I'll wake up in the middle of the night, and I'll think that
Patient: I locked the door. Is the door locked? And I can't fall back asleep.
Therapist: How long does it take you to fall back to sleep?
Patient: Sometimes it takes maybe an hour or two.",So you're sleeping for about an hour or two.,1,1,0,2,1,0
That sounds scary.,T,1.0,1.0,0.0,-1.0,-2.0,0.0,18_14,,fear of roberry,inactive,ack,,0.0,0.0,0.0,,,18.csv,"Therapist: How long does it take you to fall back to sleep?
Patient: Sometimes it takes maybe an hour or two.
Therapist: And what are you thinking about during that time?
Patient: I'm just worried that I left the door unlocked. And sometimes I'll hear sounds. And I think maybe someone's in the apartment or I just, I get nervous. I just get scared.",So you're worried about the door being left unlocked.,2,1,0,-1,1,-1
And you said a couple hours to stay away.,T,2.0,1.0,2.0,-1.0,1.0,-1.0,18_15,,fear of roberry,symp/reasoning,gc,,0.705,0.44,0.5615,,,18.csv,"Patient: Sometimes it takes maybe an hour or two.
Therapist: And what are you thinking about during that time?
Patient: I'm just worried that I left the door unlocked. And sometimes I'll hear sounds. And I think maybe someone's in the apartment or I just, I get nervous. I just get scared.
Therapist: That sounds scary.",So you're worried about the door being left unlocked.,2,1,0,2,1,2
Yeah. So,T,1.0,1.0,1.0,1.0,0.0,1.0,18_16,,fear of roberry,inactive,gc,,0.0,0.0,0.0,,,18.csv,"Therapist: And what are you thinking about during that time?
Patient: I'm just worried that I left the door unlocked. And sometimes I'll hear sounds. And I think maybe someone's in the apartment or I just, I get nervous. I just get scared.
Therapist: That sounds scary.
Therapist: And you said a couple hours to stay away.",So you're worried about the door being left unlocked. And you're worried about hearing sounds. And you're worried about someone being in the apartment.,1,1,0,-1,1,2
yeah. So this is this is troubling for you. Have you ever gotten up and check the door?,T,1.0,1.0,0.0,-1.0,-2.0,0.0,18_17,,fear of roberry,routine,irq,,0.64,0.4705,0.597499999999999,,,18.csv,"Patient: I'm just worried that I left the door unlocked. And sometimes I'll hear sounds. And I think maybe someone's in the apartment or I just, I get nervous. I just get scared.
Therapist: That sounds scary.
Therapist: And you said a couple hours to stay away.
Therapist: Yeah. So",you're worried about the door being unlocked.,1,1,0,-1,1,-1
So you just keep thinking about it. Does it get worse as the time goes on? Or does it get better? What happens?,T,1.0,1.0,-2.0,-1.0,-2.0,-2.0,18_19,,fear of roberry,routine,irq,,0.596666666666666,0.463999999999999,0.551666666666666,,,18.csv,"Therapist: And you said a couple hours to stay away.
Therapist: Yeah. So
Therapist: yeah. So this is this is troubling for you. Have you ever gotten up and check the door?
Patient: Now I sit in bed, and I just try to I just think about it.",So you're thinking about it.,2,1,0,-1,1,2
