Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction,NJ,WE,RA,AL,RF,SA
"Oh, what happened? Oh, God. Can you tell me a little bit more about this firefight?",T,2.0,2.0,2.0,-1.0,-2.0,2.0,42_2,,greeting,symp/reasoning,irq,,0.50625,0.295,0.33725,,,42.csv,"Therapist: Hi, Alex. My name is Tony. I'll be your nurse for today. How are you doing?
Patient: I'm okay, I guess just waiting for the stitches to come out and be nice. ",So I understand you've had some recent medical procedures.,2,1,0,-1,1,2
"Well from from what I'm getting here. As you were intoxicated at that point in time, and you had a conversation with this girl, which led to the firefight, ",T,-1.0,1.0,-1.0,2.0,1.0,2.0,42_4,,alcohol-fighting,routine,crq,,0.439666666666666,0.509,0.428666666666666,,,42.csv,"Therapist: Hi, Alex. My name is Tony. I'll be your nurse for today. How are you doing?
Patient: I'm okay, I guess just waiting for the stitches to come out and be nice. 
Therapist: Oh, what happened? Oh, God. Can you tell me a little bit more about this firefight?
Patient: kit storytime you're ready for this. So brown my girls having a fantastic time looking off on fleek and fish. And then this girl, like she has the nerve to stare at me from across the room. It gives me kind of kind of like this. And then she comes up to me, she bumps into me spills my drink. And she comes up and then she's like, a man. So I'm like, excuse me. So obviously I pushed her she pushed me kind of thing. And yeah, one thing led to another I it's a it's a blur from that point on but all I know is cops showed up. I'm here and I have this to deal with. Fantastic right?",So you're saying that you're having a bit of a rough time with your girlfriend.,2,-1,2,2,1,2
"Okay, so it seems like you get offended and feel offended. being referred to it. ",T,1.0,-1.0,-2.0,-2.0,-2.0,-1.0,42_6,,alcohol-fighting,routine,yq,,0.61225,0.55975,0.5115,,,42.csv,"Therapist: Oh, what happened? Oh, God. Can you tell me a little bit more about this firefight?
Patient: kit storytime you're ready for this. So brown my girls having a fantastic time looking off on fleek and fish. And then this girl, like she has the nerve to stare at me from across the room. It gives me kind of kind of like this. And then she comes up to me, she bumps into me spills my drink. And she comes up and then she's like, a man. So I'm like, excuse me. So obviously I pushed her she pushed me kind of thing. And yeah, one thing led to another I it's a it's a blur from that point on but all I know is cops showed up. I'm here and I have this to deal with. Fantastic right?
Therapist: Well from from what I'm getting here. As you were intoxicated at that point in time, and you had a conversation with this girl, which led to the firefight, 
Patient: Miss Allison or the toxic get out smashed, should have seen it. But like, this type of thing doesn't happen often. So I don't want you to be sitting here and referring me to some alcoholic because Yo, I'm not an alcoholic.",So you're not an alcoholic.,-1,-2,-1,1,-1,-1
"Right. Yeah. All right. Well, we do have some time right now. If it's okay with you. I was wondering if we could talk a little bit about your drinking habits.",T,-1.0,-2.0,-1.0,1.0,-1.0,1.0,42_8,,alcohol-fighting,symp/reasoning,irq,,0.62225,0.3565,0.474625,,,42.csv,"Therapist: Well from from what I'm getting here. As you were intoxicated at that point in time, and you had a conversation with this girl, which led to the firefight, 
Patient: Miss Allison or the toxic get out smashed, should have seen it. But like, this type of thing doesn't happen often. So I don't want you to be sitting here and referring me to some alcoholic because Yo, I'm not an alcoholic.
Therapist: Okay, so it seems like you get offended and feel offended. being referred to it. 
Patient: Yeah, exactly. ",So you're not sure if you want to go to treatment.,2,-1,0,-1,1,-1
Sure you what is drinking do for you?,T,-1.0,-2.0,-1.0,1.0,-1.0,1.0,42_10,,alcohol-fighting,symp/reasoning,irq,,0.652,0.425666666666666,0.548666666666666,,,42.csv,"Therapist: Okay, so it seems like you get offended and feel offended. being referred to it. 
Patient: Yeah, exactly. 
Therapist: Right. Yeah. All right. Well, we do have some time right now. If it's okay with you. I was wondering if we could talk a little bit about your drinking habits.
Patient:  Yeah, sure. ",So I understand that you've been drinking more than you used to.,-1,-2,-1,1,-1,1
"Okay, so to me, it seems that drinking is your way of relaxing with your friends. It's your way to socialize and it breaks the ice that is right, it helps you socialize and, you know, I'm I also wanted to say that it's very responsible of you to be drinking and not driving. Thank you. How has it affected your life?",T,-1.0,-2.0,-1.0,1.0,-1.0,1.0,42_12,,alcohol-fighting,story,irq,,0.708,0.40190909090909,0.52690909090909,,,42.csv,"Therapist: Right. Yeah. All right. Well, we do have some time right now. If it's okay with you. I was wondering if we could talk a little bit about your drinking habits.
Patient:  Yeah, sure. 
Therapist: Sure you what is drinking do for you?
Patient: Well, you know being 25 that's what we do. Like we get together we hang out we get a couple of drinks. It's me and my girls. We do this all the time and I love this. It breaks the ice when we go socialize. So, meet new people kind of thing. You know, girlfriend circle. It's fantastic. And it definitely relaxes me after a stressful week and my weeks are so stressful as I need this, you know? So, I mean, yeah, but just so you know, I do drink responsibly and I never drink and drive and I don't intend on doing that. ",So you're not drinking and driving.,2,-2,-1,1,-1,-1
"So for my understanding, drinking, it helps you socialize with friends, it relaxes you. It's, you know, your way of just, you know, it breaks that ice for you. On the other hand, it's causing that a lot of arguments with you and your significant other Henry. Yeah. And it's causing a lot that all those arguments are leading to a lot of stress in your relationship, this kind of stuff.",T,-1.0,-2.0,-1.0,1.0,-1.0,1.0,42_14,,alcohol-fighting,story,gc,,0.584785714285714,0.425857142857142,0.498714285714285,,,42.csv,"Therapist: Sure you what is drinking do for you?
Patient: Well, you know being 25 that's what we do. Like we get together we hang out we get a couple of drinks. It's me and my girls. We do this all the time and I love this. It breaks the ice when we go socialize. So, meet new people kind of thing. You know, girlfriend circle. It's fantastic. And it definitely relaxes me after a stressful week and my weeks are so stressful as I need this, you know? So, I mean, yeah, but just so you know, I do drink responsibly and I never drink and drive and I don't intend on doing that. 
Therapist: Okay, so to me, it seems that drinking is your way of relaxing with your friends. It's your way to socialize and it breaks the ice that is right, it helps you socialize and, you know, I'm I also wanted to say that it's very responsible of you to be drinking and not driving. Thank you. How has it affected your life?
Patient: Who hasn't? Well, I mean, none of this happens and you have it because of that firefight. And he's gonna be disappointed. Sorry. I guess you could say that my relationship with Henry, it's been great, fantastic. But he says that when I drink, it's like, I'm not myself. It's like somebody who's never met before. And obviously, you can imagine the arguments, the fights, and oh my god, all that stress. It's just, I love them so much, but you know, but it's a stress and it's like, I don't forget to make it.",So you're not enjoying yourself.,2,-1,0,-1,1,-1
This seems like a very lucky guy to have someone love him that much.,T,-1.0,-2.0,-1.0,1.0,-1.0,1.0,42_16,,relationship,routine,id,,0.8038,0.4476,0.6102,,,42.csv,"Therapist: Okay, so to me, it seems that drinking is your way of relaxing with your friends. It's your way to socialize and it breaks the ice that is right, it helps you socialize and, you know, I'm I also wanted to say that it's very responsible of you to be drinking and not driving. Thank you. How has it affected your life?
Patient: Who hasn't? Well, I mean, none of this happens and you have it because of that firefight. And he's gonna be disappointed. Sorry. I guess you could say that my relationship with Henry, it's been great, fantastic. But he says that when I drink, it's like, I'm not myself. It's like somebody who's never met before. And obviously, you can imagine the arguments, the fights, and oh my god, all that stress. It's just, I love them so much, but you know, but it's a stress and it's like, I don't forget to make it.
Therapist: So for my understanding, drinking, it helps you socialize with friends, it relaxes you. It's, you know, your way of just, you know, it breaks that ice for you. On the other hand, it's causing that a lot of arguments with you and your significant other Henry. Yeah. And it's causing a lot that all those arguments are leading to a lot of stress in your relationship, this kind of stuff.
Patient: Yeah, I mean, we're engaged in this as well. Like you put it that way, I mean, worried because what's he going to think of you later on in life? What's he going to tell our children? Oh, your mom's an alcoholic. She drank this and they got into fight. I don't want I don't want anyone to ever think of me that way. But at the same time, I mean, I don't want to quit cold turkey. I mean, you must understand how hard this is for me to even be here and talk about it. But I love him so much. I mean, I would do anything for him. And he's going to be so disappointed in me hasn't even seen him like, I don't know, how can I face them?",So you're worried about what Henry will think of you. And you're worried about what your children will think of you. And you're worried about how you're going to be able to keep up with the drinking. And you're worried about how you're going to be able to keep up with the responsibilities of being a parent.,0,-1,0,2,1,2
"So what I'm getting here right now is that if you do want to quit, yeah, yeah. And it's just partly because this alcohol is divided into the arguments with Henry and his positive SSL relationship. Yeah. I know we spoke about earlier and I know you don't really like like the idea of it but what do you know about it? Like what's your one shed some light on that",T,-1.0,-2.0,-1.0,1.0,-1.0,1.0,42_18,,relationship,story,irq,,0.638047619047619,0.446714285714285,0.542428571428571,,,42.csv,"Therapist: So for my understanding, drinking, it helps you socialize with friends, it relaxes you. It's, you know, your way of just, you know, it breaks that ice for you. On the other hand, it's causing that a lot of arguments with you and your significant other Henry. Yeah. And it's causing a lot that all those arguments are leading to a lot of stress in your relationship, this kind of stuff.
Patient: Yeah, I mean, we're engaged in this as well. Like you put it that way, I mean, worried because what's he going to think of you later on in life? What's he going to tell our children? Oh, your mom's an alcoholic. She drank this and they got into fight. I don't want I don't want anyone to ever think of me that way. But at the same time, I mean, I don't want to quit cold turkey. I mean, you must understand how hard this is for me to even be here and talk about it. But I love him so much. I mean, I would do anything for him. And he's going to be so disappointed in me hasn't even seen him like, I don't know, how can I face them?
Therapist: This seems like a very lucky guy to have someone love him that much.
Patient: Boy, seriously, he's not gonna find anybody that loves him. As much as I do. Trust me on that is not going to happen.",So you're worried about what he'll think of you.,2,1,2,-1,1,-1
"Well, you're a different multiple philosophy life and this share the drinking stories, and everyone just kind of helps each other through this journey of being sober together. Okay? I know you don't want to join a at this point in time 10 times but hypothetically speaking, generally consider joining it maybe later on down the road.",T,-1.0,-2.0,-1.0,1.0,-1.0,1.0,42_20,,relationship,story,irq,,0.65875,0.39165,0.54565,,,42.csv,"Therapist: This seems like a very lucky guy to have someone love him that much.
Patient: Boy, seriously, he's not gonna find anybody that loves him. As much as I do. Trust me on that is not going to happen.
Therapist: So what I'm getting here right now is that if you do want to quit, yeah, yeah. And it's just partly because this alcohol is divided into the arguments with Henry and his positive SSL relationship. Yeah. I know we spoke about earlier and I know you don't really like like the idea of it but what do you know about it? Like what's your one shed some light on that
Patient: it's a place where alcoholics go to discuss their problems and like I said, I'm not an alcoholic.",So you're not an alcoholic.,2,1,0,2,1,-1
