Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction,NJ,WE,RA,AL,RF,SA
"I am not doing bad, Thanks for asking. I'd like to give you an assessment to test your thinking and memory. Is that right? ",T,1.0,1.0,2.0,-1.0,2.0,0.0,143_2,,greeting,symp/reasoning,gt,0.0,0.717666666666666,0.433666666666666,0.528166666666666,,,143_faith.csv,"Therapist: Hi Jack, how are you doing today ?
Patient: Hey, I am doign well. How are you ?",I'm doing well. Thanks for asking. How are you doing today?,2,2,2,-2,-2,2
So I'll be asking you a series of questions. If you could just answer them to the best your ability that'd be great.,T,2.0,1.0,0.0,-2.0,1.0,2.0,143_4,,memory test,routine,gc,0.0,0.6748,0.3588,0.601,,,143_faith.csv,"Therapist: Hi Jack, how are you doing today ?
Patient: Hey, I am doign well. How are you ?
Therapist: I am not doing bad, Thanks for asking. I'd like to give you an assessment to test your thinking and memory. Is that right? 
Patient: Yeah.","Okay, so I'll give you a series of words and you have to read them out loud and then I'll ask you a few questions about them.",2,2,2,0,0,2
Okay. What is today's date?,T,0.0,-1.0,1.0,2.0,-2.0,-2.0,143_6,,memory test,routine,irq,0.0,0.0,0.0,0.0,,,143_faith.csv,"Therapist: I am not doing bad, Thanks for asking. I'd like to give you an assessment to test your thinking and memory. Is that right? 
Patient: Yeah.
Therapist: So I'll be asking you a series of questions. If you could just answer them to the best your ability that'd be great.
Patient: Okay.",So I'll give you a question. And I'll tell you the answer. And then you try to answer it. And then I'll tell you the answer. And then I'll tell you the next question.,2,1,2,0,0,2
What is today's year?,T,0.0,-1.0,1.0,2.0,2.0,-2.0,143_8,,memory test,routine,irq,0.0,0.0,0.0,0.0,,,143_faith.csv,"Therapist: So I'll be asking you a series of questions. If you could just answer them to the best your ability that'd be great.
Patient: Okay.
Therapist: Okay. What is today's date?
Patient: The 26th",26th,2,2,0,2,0,2
What is the month?,T,0.0,-1.0,1.0,2.0,2.0,2.0,143_10,,memory test,routine,irq,0.0,0.0,0.0,0.0,,,143_faith.csv,"Therapist: Okay. What is today's date?
Patient: The 26th
Therapist: What is today's year?
Patient: 2015",2015,1,1,1,2,0,2
what day is today ?,T,0.0,-1.0,1.0,2.0,2.0,-2.0,143_12,,memory test,routine,irq,0.0,0.7625,0.2875,0.3755,,,143_faith.csv,"Therapist: What is today's year?
Patient: 2015
Therapist: What is the month?
Patient: May",May,2,2,2,2,1,2
Can you also tell me what season it is?,T,0.0,-1.0,1.0,0.0,2.0,-2.0,143_14,,memory test,routine,irq,0.0,0.668333333333333,0.373333333333333,0.476666666666666,,,143_faith.csv,"Therapist: What is the month?
Patient: May
Therapist: what day is today ?
Patient: Tuesday",What time is it?,2,2,0,2,-2,2
Can you tell me the name of the building that we're in right now?,T,-2.0,1.0,-2.0,0.0,0.0,-1.0,143_16,,memory test,routine,irq,0.0,0.6462,0.329999999999999,0.5418,,,143_faith.csv,"Therapist: what day is today ?
Patient: Tuesday
Therapist: Can you also tell me what season it is?
Patient: Summer",What month is it?,2,2,1,2,-2,2
"What floor, are we on?",T,-2.0,1.0,1.0,0.0,2.0,-1.0,143_18,,memory test,routine,irq,0.0,0.0,0.0,0.0,,,143_faith.csv,"Therapist: Can you also tell me what season it is?
Patient: Summer
Therapist: Can you tell me the name of the building that we're in right now?
Patient: Wilmington University.","Okay, so we're in a building at Wilmington University.",2,2,1,0,1,2
What city are we in?,T,-2.0,1.0,1.0,0.0,2.0,-1.0,143_20,,memory test,routine,irq,0.0,0.847,0.531,0.508,,,143_faith.csv,"Therapist: Can you tell me the name of the building that we're in right now?
Patient: Wilmington University.
Therapist: What floor, are we on?
Patient: The first floor?",The first floor.,2,2,1,0,2,2
