Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"Hello there, Mr. Riley.",T,zA-fqvC02oM_1,1,1,1,0,0,2
"Hello, you alright? Yeah?",P,zA-fqvC02oM_2,,,,,,
"My name's Dr. Bedi, and I'm the psychiatrist.",T,zA-fqvC02oM_3,-1,-2,-1,-1,-2,2
"Right, I've come to see you because my GP sent me to see you, didn't he? He said I should come and see a ""trick-chiatrist"", psychiatrist, yeah. Anyway, he said come and see you because you have time to listen to me. He's not had time to listen to me, you see, because he's a GP, he's a doctor, but I don't think he's very clever. He's not very clever because he's not let me get into this, you see, he won't let me talk about this. He listens to some things sometimes, but then sometimes he doesn't.",P,zA-fqvC02oM_4,,,,,,
"Can I just clarify why you're here and why I'm here? I'm the psychiatrist in the emergency clinic today, and your GP's asked me to see you. Is that right?",T,zA-fqvC02oM_5,1,1,1,1,0,2
"Right, well, that's why I'm here. Because I've got to tell you about this. Yeah, and this, because this is important stuff. Really, really important stuff.",P,zA-fqvC02oM_6,,,,,,
"Well, before we start with that, can I just ask you what you'd like me to call you, Mr. Riley?",T,zA-fqvC02oM_7,0,0,1,0,0,2
"Names, names are a game, so don't bother with names, that's just stupid. Call me John.",P,zA-fqvC02oM_8,,,,,,
"John, okay.",T,zA-fqvC02oM_9,1,1,1,0,0,2
"Yeah, okay. What's your name?",P,zA-fqvC02oM_10,,,,,,
I'm Dr. Bedi.,T,zA-fqvC02oM_11,0,0,1,0,0,2
"No, your proper name.",P,zA-fqvC02oM_12,,,,,,
My name is Dr. Bedi.,T,zA-fqvC02oM_13,0,0,1,0,0,2
"Your proper name, your proper name's not Doctor.",P,zA-fqvC02oM_14,,,,,,
"At work, I am Dr. Bedi.",T,zA-fqvC02oM_15,0,0,1,0,0,2
"Not doctor, Dr. Who, diddly-dang, woddly-dang, skip-de-dang. Do you watch that? That's fantastic, that programme.",P,zA-fqvC02oM_16,,,,,,
"Now, John, can I ask you how old you are?",T,zA-fqvC02oM_17,-2,-2,-1,-2,-2,2
"How old? Only as old as the woman you feel, aren't you? Hey? Right, okay. You know, wait, a man's heart is through his stomach. Oh yeah, fantastic.",P,zA-fqvC02oM_18,,,,,,
"And how old would that make you, John?",T,zA-fqvC02oM_19,0,0,1,0,0,2
"Food for the soul, nice bit of soul, yeah? Hey? Bit of fish, fan- I'm hungry. You got any food? Any food round here? Any... Oi, down there, you got any food? I'm starving.",P,zA-fqvC02oM_20,,,,,,
"They won't be able to get you any food. Let's perhaps, I'll tell you what, let's perhaps think about food in a minute.",T,zA-fqvC02oM_21,0,0,1,0,0,2
"Yes, that's a good idea. Because this is important, this is why I'm here, to talk to you about this, tell you what's going on.",P,zA-fqvC02oM_22,,,,,,
"Okay, well tell me a bit about this then.",T,zA-fqvC02oM_23,0,0,1,0,0,2
"Well, this is the work I've been doing, you know, this is really important, and it's my cure for cancer. That's what it is, you know, it's all written down here. Well, it's not written down, it's here, and it's at home in me books at home. What I get from the papers is I get sort of clues as to what I'm supposed to do and how I'm supposed to get the other clues so I can hone it down and come up with the final thing.",P,zA-fqvC02oM_24,,,,,,
"And how long, John, has all of this been going on for, would you say?",T,zA-fqvC02oM_25,0,0,1,0,0,2
It's been going on for ages now.,P,zA-fqvC02oM_26,,,,,,
How long would you say?,T,zA-fqvC02oM_27,0,0,1,0,0,2
"Ages now. Well, I've been up all week, mostly this week I've been working really hard at this. It's been going on longer than a week, but I've been working at it really hard for this week, because it's the numbers you have to find out.",P,zA-fqvC02oM_28,,,,,,
Right. Am I right in thinking you normally do a different job?,T,zA-fqvC02oM_29,0,0,1,0,0,2
"Yeah, I'm a mechanic. Car mechanic, yeah. ""Manic mechanic,"" they call me.",P,zA-fqvC02oM_30,,,,,,
Manic mechanic?,T,zA-fqvC02oM_31,0,0,1,0,0,2
"Yeah, it was my mate Dave. My mate Dave, I showed him this, and he told me it- he told me to go away because I was bonkers. He didn't say go away, he told me to fuck off. He said ""fuck off, you're bonkers."" Anyway, you see, he did that. And so I said, ""Well, you know, I don't think he was clever enough, really."" Not enough, you know, that's why I went to see the doctor about it. Because I thought, you know, show him, because he's a doctor, you know, he's been to university, he's done stuff. No, thick as shit. No. He really, he said he didn't have time. I thought, ""How can you not have time to hear about the cure for cancer?"" You know what I mean? Yeah. So that's why he's sent me to see you, because I'll tell you all about it.",P,zA-fqvC02oM_32,,,,,,
"Okay, well tell me about it then. Tell me what's going on.",T,zA-fqvC02oM_33,0,0,1,0,0,2
"Right, well, I've got my various bits and pieces here and I find things in the papers, like the football results, you see, they need adding together and then I have to find some other information on this page, there's some pages and page numbers there, I have to add those together and take it away from what's on there, yeah? So that's how I do that, and then you find other things...",P,zA-fqvC02oM_34,,,,,,
And what does that number tell you?,T,zA-fqvC02oM_35,0,0,1,0,0,2
"That number corresponds to numbers I've got on my chart at home. I've got a big chart on my wall, and I find that number and then that adds up to something else. And it's- it's all there, I mean, that's- that's really good. I'm going to get one of those.",P,zA-fqvC02oM_36,,,,,,
What's that?,T,zA-fqvC02oM_37,0,0,1,0,0,2
"That's- that's really good. That's- that's a phone that does the internet and everything. So I'll be able to find out more stuff that way when I'm out and about. But that's- and there's numbers, you see, I use those numbers there, they need adding up and taking away from something.",P,zA-fqvC02oM_38,,,,,,
"And John, when you've done all this with all the numbers and the chart, where will that leave you? What is it you're headed for?",T,zA-fqvC02oM_39,0,0,1,0,0,2
"Well, it's the cure for cancer, isn't it? That's what it is, the cure for cancer.",P,zA-fqvC02oM_40,,,,,,
How's that going to work then?,T,zA-fqvC02oM_41,1,1,1,0,0,2
"How it works is God tells me that I'm doing a really good job and how great I am and how fantastic I am working at this, you know, and I just keep going at it, you know, I don't stop. I don't stop.",P,zA-fqvC02oM_42,,,,,,
Can I just take you back a step? You said God tells you. Can you tell me a bit more about that?,T,zA-fqvC02oM_43,2,1,2,2,1,2
"Well, he tells me. He just tells- he just talks to me.",P,zA-fqvC02oM_44,,,,,,
He talks?,T,zA-fqvC02oM_45,1,1,1,1,1,2
"He just talks to me, tells me I'm doing a really good job and I'm fantastic and really wonderful and I'm great, you know, I'm doing- and I have to show this to people. That's why I'm coming to show you.",P,zA-fqvC02oM_46,,,,,,
"And John, when God talks to you, can I just clarify this with you, does he talk to you like I'm talking to you, with the voice coming through your ears, or does it feel more like...",T,zA-fqvC02oM_47,-1,-1,-1,2,-1,2
"Voice doesn't come through your ears, comes out your mouth. Voice comes out your mouth and goes in your ears. Yeah, I get straight- you should know that, because you know, you're a doctor as well, aren't you? So you should know these things.",P,zA-fqvC02oM_48,,,,,,
"And is that how the voice seems to you, John? You hear him in your ears.",T,zA-fqvC02oM_49,-1,-1,-1,2,-1,2
"I hear him in my ears, because that's what you use for hearing. And you know, and he talks to me with his mouth because, you know, he's a big bloke.",P,zA-fqvC02oM_50,,,,,,
So the voice seems to come through your ears rather than inside your head.,T,zA-fqvC02oM_51,1,1,1,2,1,2
"It's quite loud, because he's a big bloke.",P,zA-fqvC02oM_52,,,,,,
Is he a big bloke?,T,zA-fqvC02oM_53,1,1,1,1,0,2
"He's a big bloke, yeah. He's got a big beard.",P,zA-fqvC02oM_54,,,,,,
What's he like then?,T,zA-fqvC02oM_55,2,1,1,1,1,2
