Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE
"Jackie, How are you doing today?",T,2.0,2.0,-2.0,-2.0,-2.0,2.0,93_1,,,,,,,,,,
Alrght. How about you?,P,,,,,,,93_2,,,,,,,,,,
I'm doing well. Thanks for asking. I understand you've had some recent difficulties that have brought you to the agency,T,2.0,2.0,-2.0,2.0,-2.0,2.0,93_3,,,,,,,,,,
"Yeah, I lost my job.",P,,,,,,,93_4,,,,,,,,,,
You lost your job?,T,0.0,1.0,1.0,-1.0,1.0,-1.0,93_5,,,,,,,,,,
Because I failed drug test.,P,,,,,,,93_6,,,,,,,,,,
You failed a drug test.,T,-1.0,-2.0,-1.0,1.0,-1.0,1.0,93_7,,,,,,,,,,
"So I have to drive golf carts sometimes for my job and I just really was not paying attention as I was driving through the parking lot and I hit a car. Then think it was a big deal. It doesn't even leave a big mark. Really. The car owner got pretty pissed about it and I found out that I did it. I got admitted to it. So I didn't want to be getting in trouble for it. So, so then they, since it was an accident, you know, I kind of hit my head a little bit to maybe take a drug test, and I had smoked some weed the night before. So I filled it and was fired.",P,,,,,,,93_8,,,,,,,,,,
Were you aware that this was an accident? You'd be protesting?,T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_9,,,,,,,,,,
"Um, you know, I? I don't I didn't know that. Now. I guess they might have told me at some point, but I I probably wasn't paying attention to it or had it I wasn't prepared for it.",P,,,,,,,93_10,,,,,,,,,,
So there have been consequences to losing your job.,T,0.0,-1.0,1.0,2.0,1.0,-1.0,93_11,,,,,,,,,,
"Um, yeah, I mean, my parents are not happy. I'm not making any money, obviously. So they, they're not very happy, relying on them for gas money for it. never go anywhere, do anything with my friends ask them for money. So they're kinda, you know, pushing me to get a job and help support myself again.",P,,,,,,,93_12,,,,,,,,,,
What type of work to do?,T,0.0,-1.0,1.0,2.0,1.0,2.0,93_13,,,,,,,,,,
"Um, I work in security, I kind of monitor parking lot, you know, take tickets, things like that.",P,,,,,,,93_14,,,,,,,,,,
"So, most of those employers would require a drug screen.",T,-1.0,0.0,1.0,1.0,0.0,2.0,93_15,,,,,,,,,,
"Yeah, that's, that's my problem. I've been trying to look for a new job. And pretty much all of them have required drug tests. So I haven't gotten a new one yet. So that's becoming a problem. So that's why i wanna i want to cut down but I haven't been able to. So I really need a job. I mean, all these things. It's kind of silly that all you know. I find it silly. It should be. Who cares if I smoke a little weed, you know, too. be illegal.",P,,,,,,,93_16,,,,,,,,,,
But you think it should be illegal?,T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_17,,,,,,,,,,
"Yeah. So I mean, not causing some harm really, and hurt anyone. So So yeah, I really do need a job. So I'm here to kind of get a handle on that.",P,,,,,,,93_18,,,,,,,,,,
So you want to stop using marijuana all together?,T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_19,,,,,,,,,,
"Yeah, I'm gonna have to get a job, I think No, I don't want a random drug test again.",P,,,,,,,93_20,,,,,,,,,,
"All right, can you tell me about your marijuana use now? Like when was the last time used?",T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_21,,,,,,,,,,
"Um, I actually say now at some friends my roommate this morning. Well, not my roommate but my friend that comes over and stays with me sometimes. And we guys did some this 'morning so.",P,,,,,,,93_22,,,,,,,,,,
So recently and how about the coke like when did you start using that for how long?,T,1.0,1.0,-1.0,1.0,-1.0,1.0,93_23,,,,,,,,,,
"long time ago, I've been using proudly for Since I mean, since I was in high school, I started that's kind of just a big part of my life. And my friends do it. My friends do. So, yeah.",P,,,,,,,93_24,,,,,,,,,,
Any other drugs or alcohol or anything?,T,-1.0,-2.0,-1.0,-1.0,-1.0,1.0,93_25,,,,,,,,,,
Just is just marijuana. Yeah.,P,,,,,,,93_26,,,,,,,,,,
Have you noticed over time you've been using more?,T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_27,,,,,,,,,,
"Yeah, I mean you know, I, I try to cut down a little bit I'll kind of say hello, just smoke a little bit and then you know, I'm hanging with hanging out with my friends will end up just being high for a really long time. And let's just all do all night. So.",P,,,,,,,93_28,,,,,,,,,,
So it's consuming a lot of time.,T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_29,,,,,,,,,,
"Yeah, yeah. Yeah. kind of always thinking about how I'm gonna get more and trying to get home again. And so it really does take up a lot of time and it's kind of a distraction. So",P,,,,,,,93_30,,,,,,,,,,
you have a craving for marijuana,T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_31,,,,,,,,,,
"No, No, I guess not really.",P,,,,,,,93_32,,,,,,,,,,
"Now, have you had any social problems because your marijuana use?",T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_33,,,,,,,,,,
"let's say other than my work, there's the word mean, my friends I'll do it there's a problem with it. So",P,,,,,,,93_34,,,,,,,,,,
are there other important activities that you miss out on because of your marijuana use,T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_35,,,,,,,,,,
"now, I mean, I don't really do a lot so I don't really miss out on much",P,,,,,,,93_36,,,,,,,,,,
Are there any activities that you engage in that are more dangerous because your marijuana use?,T,-1.0,0.0,-1.0,1.0,-1.0,1.0,93_37,,,,,,,,,,
this time Out of my basement and don't really do anything. So,P,,,,,,,93_38,,,,,,,,,,
do you have any history of mental health issues or medical issues?,T,1.0,1.0,0.0,-2.0,1.0,-1.0,93_39,,,,,,,,,,
No. No,P,,,,,,,93_40,,,,,,,,,,
Do you notice any anxiety or physical symptoms when you stop using my one?,T,1.0,-2.0,1.0,-1.0,1.0,-1.0,93_41,,,,,,,,,,
"No, I feel feel okay.",P,,,,,,,93_42,,,,,,,,,,
So how motivated are you to stop using?,T,-1.0,0.0,-1.0,-1.0,1.0,-1.0,93_43,,,,,,,,,,
"Part of me doesn't really want to, but it's something I have to do. You know, I need a new job and I don't want to be relying on my parents for forever. It's pretty annoying. So I'm pretty committed to it. I would say, Yeah,",P,,,,,,,93_44,,,,,,,,,,
you're committed to it.,T,2.0,-1.0,-1.0,2.0,1.0,2.0,93_45,,,,,,,,,,
Yeah.,P,,,,,,,93_46,,,,,,,,,,
I'm gonna get you to see a counselor here if that's okay with you.,T,2.0,2.0,2.0,2.0,1.0,2.0,93_47,,,,,,,,,,
"Yeah, that'd be really helpful. be helpful.",P,,,,,,,93_48,,,,,,,,,,
I appreciate you taking this time to tell me what's going on and answer my questions has been helpful.,T,2.0,2.0,2.0,-1.0,0.0,-1.0,93_49,,,,,,,,,,
Thank you.,P,,,,,,,93_50,,,,,,,,,,
How are you doing today?,T,2.0,2.0,-2.0,-2.0,-2.0,2.0,17_1,,,,,,,,,,
"Okay, how are you? ",P,,,,,,,17_2,,,,,,,,,,
I'm doing well. Thanks for asking.,T,2.0,1.0,-2.0,-1.0,-2.0,2.0,17_3,,,,,,,,,,
"Yes, um, I would like to be able to kind of I've been feeling a little depressed and I would really like to be able to reduce those depressed you know, the depression.",P,,,,,,,17_4,,,,,,,,,,
"So reduce feelings of depression. Yes, that'd be a cool okay. Yes. So Sounds like a good goal. So what objectives what tasks Do you think that you could do? That would help you to feel less depressed?",T,-1.0,2.0,1.0,2.0,1.0,2.0,17_5,,,,,,,,,,
"I guess maybe some sort of physical activity, maybe like walking. I like to be outside. So maybe walking could be one. Okay.",P,,,,,,,17_6,,,,,,,,,,
Have you had a plan before we have walked regularly?,T,0.0,-1.0,2.0,2.0,-2.0,-1.0,17_7,,,,,,,,,,
"You know, I used to. I did. And it was, it was, it was a it would give me some relief, because I was I was able to clear my mind whenever I was walking. And so I Yes, yes, I've had success with walking before.",P,,,,,,,17_8,,,,,,,,,,
So Walking has worked before.,T,2.0,-1.0,0.0,-1.0,1.0,-1.0,17_9,,,,,,,,,,
Yes.,P,,,,,,,17_10,,,,,,,,,,
And you notice that you're walking less since you've had a first impression.,T,2.0,-1.0,0.0,-2.0,-2.0,-1.0,17_11,,,,,,,,,,
"I really haven't been doing too much of anything I've just been kind of at home doing homework, stressing out over doing getting homework done. Because I'm, you know, back in school, and it's been so stressful and overwhelming. You know, like I said, it's just kind of gotten me in this little funk, this depressed mood. So",P,,,,,,,17_12,,,,,,,,,,
"since you're on the topic of homework, which is something you think you can do there, you mentioned that it's stressful and overwhelming. And that sounds like the type of feelings that are related to depression sometimes. Mm hmm. Do you find that kind of being stressed about homework is?",T,0.0,1.0,0.0,2.0,-1.0,-1.0,17_13,,,,,,,,,,
"Yeah, because you know, is there's so much work to be done and sometimes a good you know, several assignments. Do And at the same time, and I find myself rushing to get assignments and and, you know, it can just be a little daunting. It's just overwhelming sometimes. So yeah. And I don't know, maybe if I spaced that out and, you know, took, you know, did some time management or something like that I don't know, to kind of help me",P,,,,,,,17_14,,,,,,,,,,
feel like maybe you're starting the homework late compared to when it's due.,T,0.0,-1.0,0.0,2.0,-2.0,-1.0,17_15,,,,,,,,,,
"Yeah, yeah.",P,,,,,,,17_16,,,,,,,,,,
That's the feeling maybe of overwhelmed.,T,2.0,2.0,0.0,2.0,1.0,2.0,17_17,,,,,,,,,,
"Yes, I would say that.",P,,,,,,,17_18,,,,,,,,,,
"So, yeah, you're right. It sounds like this is just an organizational thing, right. So if you if you can space it out where you kind of start your homework earlier, and do it in small bits, okay. Instead of me waiting more or less the last minute, right. That would reduce the mean likely, I would think reduce some of the stressed feelings of being overwhelmed.",T,0.0,1.0,0.0,2.0,1.0,-1.0,17_19,,,,,,,,,,
I'm sure it would you sure would.,P,,,,,,,17_20,,,,,,,,,,
"So one, make that your sec objective then so you have the walking, okay. And then you'll have trying to space out the homework. ",T,2.0,-1.0,2.0,-2.0,1.0,-1.0,17_21,,,,,,,,,,
"Okay, that sounds doable",P,,,,,,,17_22,,,,,,,,,,
sound good. All right.,T,2.0,-1.0,2.0,-2.0,-2.0,2.0,17_23,,,,,,,,,,
Yes.,P,,,,,,,17_24,,,,,,,,,,
What other objectives might work?,T,2.0,2.0,1.0,2.0,-1.0,2.0,17_25,,,,,,,,,,
Let's see.,P,,,,,,,17_26,,,,,,,,,,
that worked in the past for you.,T,2.0,2.0,0.0,2.0,-2.0,-1.0,17_27,,,,,,,,,,
"You know, it was something that I enjoyed doing. And right now I feel like I'm not doing any of the things that I've enjoyed doing because I've been so busy doing work doing homework, so I think that would probably help.",P,,,,,,,17_28,,,,,,,,,,
So it's a good break from thinking about stressing about this you put it to homework,T,0.0,1.0,2.0,2.0,2.0,2.0,17_29,,,,,,,,,,
Yes.,P,,,,,,,17_30,,,,,,,,,,
It has kind of come in the singing parts fun for it sounds like but also there's a social component seems like,T,2.0,-1.0,0.0,-1.0,1.0,2.0,17_31,,,,,,,,,,
"Yes, it is. It is. Enjoy access to enjoy singing, and, you know, I enjoy the people that I was saying with and we will go and hang out together, go to different, you know, like jazz clubs or events, you know, different bands that were playing it you know, it'll just be nice. It's fun. I love music. So I love listening to it and I love you know, singing. So making music. So that was great. I think that would be a good goal.",P,,,,,,,17_32,,,,,,,,,,
You seem to kind of light up a little when you talk about singing.,T,2.0,2.0,1.0,2.0,-2.0,2.0,17_33,,,,,,,,,,
"Yes, it's I I just love it. I enjoy doing it. And I just haven't had a chance to deal with lightning.",P,,,,,,,17_34,,,,,,,,,,
so far. This is justmaking the time.,T,2.0,2.0,1.0,0.0,1.0,-2.0,17_35,,,,,,,,,,
"Yes, yeah. Yes.",P,,,,,,,17_36,,,,,,,,,,
"Good. All right. So we'll make that the third objective. So we have walking and kind of organizing your homework differently. And then singing and that, that socializing, it's the companies that, that singing that's great. So three objectives is good. I try to get to four. If you have one. Is there a fourth objective that you can think of something else that you've associated with not feeling depressed when",T,-1.0,-1.0,0.0,2.0,1.0,2.0,17_37,,,,,,,,,,
"I used to absolutely love going to the beach and visiting with my aunt. And so that's two things. The beach. I love the beach because it's soothing. It's company. And I, my, she's just such an awesome person and she's always pouring into me and I just love spending time with her. So she lives down to pitch.",P,,,,,,,17_38,,,,,,,,,,
"Yes, she does. Okay, so this seems like a good, good objective to Yes. So you're suggesting maybe visiting her more often?",T,0.0,2.0,2.0,2.0,1.0,2.0,17_39,,,,,,,,,,
"Yes. Again, just at home doing homework, and I haven't gone to visit her in a while. And the thing is, she only lives like an hour away. So it's not a it's not right. No, it's not. So that's like a, you know, a trip I couldn't do on a Saturday. Take a break and go down there and spend some time with that will be I think that will be helpful.",P,,,,,,,17_40,,,,,,,,,,
"So again, kind of kind of getting away from the school stressors. Just take taking a break from it for a day. Yes. And then also spend time with somebody that you enjoy spending time with. Good. Good. All right. So I want to go through each one of these. And just make sure that we're kind of meeting all the criteria for an objective, which I think we can do, but these are all specific, which is good. Do you feel these are all achievable? These are things you can do. I think so. Yeah. Yeah. Well, someone that knew done in the past, right, ",T,2.0,2.0,2.0,2.0,1.0,2.0,17_41,,,,,,,,,,
right.,P,,,,,,,17_42,,,,,,,,,,
"So now we have the specific and the achievable. I don't want to get too personal and more tricky, which is making it measurable. I like to do here. I don't want to be overly prescriptive in terms of objectives. I want you to decide. But I want to see We can quantify, in some manner, how often you'll be able to do these different things or how, you know, quite like a homer but to think about the spacing would be the quantity but, but first with the walking. So in a given week, say what's realistic for you in terms of getting out and walking? How many times?",T,1.0,2.0,2.0,-1.0,-2.0,2.0,17_43,,,,,,,,,,
"Um, maybe I can start out with twice a week, twice quickly.",P,,,,,,,17_44,,,,,,,,,,
Okay. Do you have two particular days in line days for your responsibilities aren't too great. You have that opportunity?,T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_45,,,,,,,,,,
Maybe we need to start with one day a week.,P,,,,,,,17_46,,,,,,,,,,
"Okay. Let's go one day, one time, one time a week. Let's talk with one and then we'll see what happens.",T,1.0,-1.0,0.0,2.0,-2.0,-2.0,17_47,,,,,,,,,,
"Okay, ",P,,,,,,,17_48,,,,,,,,,,
so what day of the week are you thinking?,T,0.0,-1.0,1.0,2.0,-2.0,-2.0,17_49,,,,,,,,,,
About Monday?,P,,,,,,,17_50,,,,,,,,,,
Consider a window of opportunity you see on Monday.,T,0.0,-1.0,1.0,2.0,-2.0,-2.0,17_51,,,,,,,,,,
"It is. Yeah. Plus, it just kind of, I think, no, no. How about Wednesday? ",P,,,,,,,17_52,,,,,,,,,,
Wednesday?,T,-1.0,-1.0,-1.0,1.0,0.0,-1.0,17_53,,,,,,,,,,
"Yes. Wednesday, middle of the week. Stress from work and school and yes, Wednesday. Sounds good.",P,,,,,,,17_54,,,,,,,,,,
"Once you have a particular time range, you like to walk a few times a day,",T,0.0,-1.0,1.0,-1.0,-2.0,-2.0,17_55,,,,,,,,,,
like 6:30.,P,,,,,,,17_56,,,,,,,,,,
"That's a good time for you. As the time you can get out of house,",T,0.0,2.0,0.0,2.0,-2.0,0.0,17_57,,,,,,,,,,
"yes, off work. And give me a little bit of time to get home and change and out the door. Because if I, if I make it too late, I'm not going to go",P,,,,,,,17_58,,,,,,,,,,
"6:30 is kind of a good, that's a good time. Yeah. 630 good. So we'll start with that objective. The Walking Every Wednesday at 630 for every amount of time are comfortable with. So, the homework is a little trickier, right? This is about spacing it out. Okay? So the homework assignments, they're stressing you out. How much time did they take? Last few few questions. How much time do they take to complete? Generally? Like an hour? So",T,2.0,2.0,0.0,2.0,1.0,2.0,17_59,,,,,,,,,,
it depends on the assignment.,P,,,,,,,17_60,,,,,,,,,,
If you had the average off,T,1.0,0.0,1.0,1.0,-2.0,-2.0,17_61,,,,,,,,,,
the average two hours,P,,,,,,,17_62,,,,,,,,,,
"let's go to worst case, let's go two and a half hours just to cover code worst case will generally be the worst case.",T,1.0,2.0,2.0,-1.0,-2.0,2.0,17_63,,,,,,,,,,
"Maybe it depends, because",P,,,,,,,17_64,,,,,,,,,,
"then we get three, ",T,1.0,0.0,0.0,1.0,0.0,-1.0,17_65,,,,,,,,,,
"yeah, the second",P,,,,,,,17_66,,,,,,,,,,
