Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction
"Cool. Okay. So I just wanted to ask, did you receive that information pack that was sent out to you in the mail? ",T,2.0,2.0,2.0,2.0,1.0,-1.0,110_2,,greeting,inactive,yq,,0.671666666666666,0.393,0.579,,,110_faith.csv,"Therapist: Thanks for coming along today broke. I've really been looking forward to meeting you.
Patient:  Yeah, me too. ","Therapist: It's completely understandable that you'd be looking forward to meeting me. It's great that you're taking this step towards seeking support. Can you tell me more about what's been on your mind lately? What's been making you feel like you're ""broke"" in this context?"
Fabulous. Okay. So would you mind if we just spend a few minutes going through that together now?,T,2.0,1.0,0.0,2.0,1.0,-1.0,110_4,,greeting,inactive,yq,,0.67225,0.484249999999999,0.53525,,,110_faith.csv,"Therapist: Thanks for coming along today broke. I've really been looking forward to meeting you.
Patient:  Yeah, me too. 
Therapist: Cool. Okay. So I just wanted to ask, did you receive that information pack that was sent out to you in the mail? 
Patient: Yes, I did. ","Therapist: ""It sounds like you've been looking forward to meeting me today. I'm glad you were able to receive the information pack. How did you find the contents of the package? Was there anything that stood out to you or anything you'd like to talk about?"""
"So I guess something really important that I would like to draw your attention to first of all, is this issue here of confidentiality, okay. Basically, everything that you and I talk about together in therapy is just between you and I, however, because I am a professional psychologist, the things that we discussed, I may need to share with my supervisor, okay. ",T,2.0,-1.0,0.0,-1.0,1.0,2.0,110_6,,greeting,inactive,id,,0.661625,0.462999999999999,0.5440625,,,110_faith.csv,"Therapist: Cool. Okay. So I just wanted to ask, did you receive that information pack that was sent out to you in the mail? 
Patient: Yes, I did. 
Therapist: Fabulous. Okay. So would you mind if we just spend a few minutes going through that together now?
Patient: Yeah, no, that's okay. ","Therapist: It sounds like you're feeling a bit curious about the information in the pack. You're not sure if you're comfortable sharing it with me, and that's totally understandable. Can you tell me more about what's on your mind when you think about the information? What are some of your thoughts or questions that come to mind?"
" Yeah, that's right. Yep. Yeah. There are a few special circumstances though, where I may have to break confidentiality. That is if you tell me that you might be of harm to yourself or someone else. Okay. If you tell me that you've been involved in a serious crime, okay for us. Somebody else wishes to access the information that we talked about in the context of legal proceedings and they take it off subpeona I'm required to give that information then okay. But of course, if any of these things ever did come up, I would discuss these with you first. Okay, that'd be good. Okay. All right. All right. So something else I just would like to draw your attention to here as well. It's just our fee here at the clinic. Yes. Which as we discussed on the phone is $20.",T,2.0,-1.0,0.0,-1.0,1.0,2.0,110_8,,greeting,routine,ack,,0.612310344827586,0.410482758620689,0.531275862068965,,,110_faith.csv,"Therapist: Fabulous. Okay. So would you mind if we just spend a few minutes going through that together now?
Patient: Yeah, no, that's okay. 
Therapist: So I guess something really important that I would like to draw your attention to first of all, is this issue here of confidentiality, okay. Basically, everything that you and I talk about together in therapy is just between you and I, however, because I am a professional psychologist, the things that we discussed, I may need to share with my supervisor, okay. 
Patient: Yeah, yeah, that's all right. Will it only be with your supervisor?","Therapist: ""That's right. I want to make sure you feel comfortable and secure in our sessions. I'll only share information with your supervisor if it's absolutely necessary, and I'll make sure to keep your confidentiality as high as possible. Can you think of any specific situations where you might need to share something with your supervisor, or any concerns you have about confidentiality?"""
Okay. And I understand from time to time that things can come up as well and that you might have to reschedule one of your appointment. We just asked that if you could provide us with about 24 hours notice beforehand shot so that gives us a chance to be able to set up another appointment time.,T,1.0,-1.0,2.0,2.0,1.0,2.0,110_10,,greeting,routine,id,,0.619764705882353,0.410235294117647,0.563,,,110_faith.csv,"Therapist: So I guess something really important that I would like to draw your attention to first of all, is this issue here of confidentiality, okay. Basically, everything that you and I talk about together in therapy is just between you and I, however, because I am a professional psychologist, the things that we discussed, I may need to share with my supervisor, okay. 
Patient: Yeah, yeah, that's all right. Will it only be with your supervisor?
Therapist:  Yeah, that's right. Yep. Yeah. There are a few special circumstances though, where I may have to break confidentiality. That is if you tell me that you might be of harm to yourself or someone else. Okay. If you tell me that you've been involved in a serious crime, okay for us. Somebody else wishes to access the information that we talked about in the context of legal proceedings and they take it off subpeona I'm required to give that information then okay. But of course, if any of these things ever did come up, I would discuss these with you first. Okay, that'd be good. Okay. All right. All right. So something else I just would like to draw your attention to here as well. It's just our fee here at the clinic. Yes. Which as we discussed on the phone is $20.
Patient: Yes. And that's fine. No problems.","Therapist: It sounds like you're feeling a bit uncertain about the confidentiality agreement, and that's completely understandable. You're right, as a professional psychologist, I do need to share certain information with your supervisor in order to ensure your safety and the safety of others. I want to assure you that I'm committed to maintaining confidentiality, but I also want to be transparent about the boundaries of our work.

You mentioned that you're concerned about the fee, and I want to address that as well"
Okay. Did you have any other questions about anything that you read on that shape there?,T,2.0,1.0,0.0,-1.0,1.0,2.0,110_12,,greeting,routine,yq,,0.64025,0.2855,0.47125,,,110_faith.csv,"Therapist:  Yeah, that's right. Yep. Yeah. There are a few special circumstances though, where I may have to break confidentiality. That is if you tell me that you might be of harm to yourself or someone else. Okay. If you tell me that you've been involved in a serious crime, okay for us. Somebody else wishes to access the information that we talked about in the context of legal proceedings and they take it off subpeona I'm required to give that information then okay. But of course, if any of these things ever did come up, I would discuss these with you first. Okay, that'd be good. Okay. All right. All right. So something else I just would like to draw your attention to here as well. It's just our fee here at the clinic. Yes. Which as we discussed on the phone is $20.
Patient: Yes. And that's fine. No problems.
Therapist: Okay. And I understand from time to time that things can come up as well and that you might have to reschedule one of your appointment. We just asked that if you could provide us with about 24 hours notice beforehand shot so that gives us a chance to be able to set up another appointment time.
Patient: Yeah, yeah, that's fine. No worries. ","Therapist: It sounds like you're feeling a bit more comfortable with the fee and the scheduling process. It's great that you're thinking ahead and wanting to be prepared. It's also good that you're aware of the importance of giving us 24 hours' notice when you need to reschedule. That way, we can make sure to accommodate your needs. You're doing a great job of taking care of yourself and your needs."
Yeah. Okay. So if you wouldn't mind just popping your signature at the bottom there. Thanks.,T,0.0,2.0,0.0,-1.0,-2.0,-1.0,110_14,,greeting,routine,id,,0.545666666666666,0.393333333333333,0.525,,,110_faith.csv,"Therapist: Okay. And I understand from time to time that things can come up as well and that you might have to reschedule one of your appointment. We just asked that if you could provide us with about 24 hours notice beforehand shot so that gives us a chance to be able to set up another appointment time.
Patient: Yeah, yeah, that's fine. No worries. 
Therapist: Okay. Did you have any other questions about anything that you read on that shape there?
Patient: Um, no. it all seems fine with me. Yeah. ","Therapist: It sounds like everything is okay, and you're feeling comfortable with the plan. You're not feeling any other concerns or questions about the rescheduling, are you?"
"Yeah, I can understand that it can be a bit confronting and scary The first time you come along. Yeah. So I guess, I mean, just to give you a bit of an idea about how I like to work with clients, is that I like it to be a collaborative approach so that the two of us get to work together on new problems and concerns that you're having at the moment. Okay. ",T,2.0,-1.0,0.0,-2.0,0.0,-1.0,110_16,,anxiety,routine,id,,0.642590909090909,0.4115,0.55040909090909,,,110_faith.csv,"Therapist: Okay. Did you have any other questions about anything that you read on that shape there?
Patient: Um, no. it all seems fine with me. Yeah. 
Therapist: Yeah. Okay. So if you wouldn't mind just popping your signature at the bottom there. Thanks.
Patient: I haven't, I'm feeling a little nervous. ","Therapist: It's completely normal to feel nervous, especially in a new situation. It's a big step taking a new therapist-client relationship. It sounds like you're feeling a bit apprehensive about our conversation today."
"So the purpose of today's session, I guess, would be for me to get more of an understanding of what's happening for you lately. All right, and give us a chance to get to know each other a little bit more. Okay. Okay. Yeah. Yeah, that's really good. Yeah. And at the end, we can sort of have a touch base again and see how we went for today and whether we'd like to take it on from there.",T,2.0,-1.0,2.0,-1.0,-2.0,-1.0,110_18,,anxiety,story,id,,0.679409090909091,0.388318181818181,0.498363636363636,,,110_faith.csv,"Therapist: Yeah. Okay. So if you wouldn't mind just popping your signature at the bottom there. Thanks.
Patient: I haven't, I'm feeling a little nervous. 
Therapist: Yeah, I can understand that it can be a bit confronting and scary The first time you come along. Yeah. So I guess, I mean, just to give you a bit of an idea about how I like to work with clients, is that I like it to be a collaborative approach so that the two of us get to work together on new problems and concerns that you're having at the moment. Okay. 
Patient: Yeah. Sounds good.","Therapist: It sounds like you're feeling a bit apprehensive about our first session together. It's completely normal to feel that way, especially when we're starting something new. Can you tell me more about what's making you feel nervous? What specifically is it about our approach that's making you feel that way?"
"Yes, yeah, exactly. Yeah. Okay. So I mean, just to start off with then I guess, are there any other things that you've tried apart from coming to therapy and As some ways to help you cope with what's happening for you.",T,2.0,2.0,2.0,-1.0,1.0,-1.0,110_20,,anxiety,symp/reasoning,irq,,0.601888888888888,0.431888888888888,0.496888888888888,,,110_faith.csv,"Therapist: Yeah, I can understand that it can be a bit confronting and scary The first time you come along. Yeah. So I guess, I mean, just to give you a bit of an idea about how I like to work with clients, is that I like it to be a collaborative approach so that the two of us get to work together on new problems and concerns that you're having at the moment. Okay. 
Patient: Yeah. Sounds good.
Therapist: So the purpose of today's session, I guess, would be for me to get more of an understanding of what's happening for you lately. All right, and give us a chance to get to know each other a little bit more. Okay. Okay. Yeah. Yeah, that's really good. Yeah. And at the end, we can sort of have a touch base again and see how we went for today and whether we'd like to take it on from there.
Patient:  Yeah, that sounds good. We'll have a better idea then. ","Therapist: It sounds like you're feeling a sense of relief that we're taking a collaborative approach, and that you're open to exploring this new dynamic with me. It's completely understandable, given the initial discomfort. It's a brave step to step out of your comfort zone, and I'm here to support you in that process."
