Utterance,Type,ID
"Well, and I don't think you should say boss.",T,ihDezGfSvQs_1
You don't want me to say boss?,T,ihDezGfSvQs_2
No.,T,ihDezGfSvQs_3
"Colleague, maybe? Okay. I knew you wouldn't like that, but I'm going to talk about you for a second, and you're going to be flattered.",T,ihDezGfSvQs_4
"Well, and again, I'm used to it.",T,ihDezGfSvQs_5
"Hi everyone, Emma McAdam here. I'm a Licensed Marriage and Family Therapist, and today I have my colleague, best friend, and clinical director Monica Bloom here. I've been trying to get you on my channel for years, right?",T,ihDezGfSvQs_6
"Yes, it's exciting to be here finally.",T,ihDezGfSvQs_7
"Monica has been helping people through the stress and anxiety of the coronavirus pandemic. She's been a therapist for over 20 years, specializes in difficult cases, and is also a marathon runner. How many have you done, Monica?",T,ihDezGfSvQs_8
I just completed 78 full marathons.,T,ihDezGfSvQs_9
Only 78? Rollerblading is another thing she does. Do you have a life analogy from that?,T,ihDezGfSvQs_10
"I love rollerblading. One analogy is about fearlessness. I decided to go down a big hill even though I couldn't use the brakes. Instead of flailing out of fear, I decided to enjoy it and yell 'Woo-hoo!' We cannot live in fear, so we do what we can, like wearing a helmet, but we still make the decision to enjoy it.",T,ihDezGfSvQs_11
That's an excellent story. We probably all feel like we are flying down a hill on rollerblades without brakes right now.,T,ihDezGfSvQs_12
"And we didn't choose this hill. Monica, what are some common concerns you're seeing from clients right now?",T,ihDezGfSvQs_13
"Anxiousness and fear. People who have anxiety have more of it, and those who don't are feeling it now. I see people worried about their ability to handle this as healthy coping resources are wiped away. Secondary effects, like marriage struggles and lack of schedule, are affecting people as much as the virus itself.",T,ihDezGfSvQs_14
Every person's coping resource is kind of wiped away. What do you tell people who are feeling so much worry?,T,ihDezGfSvQs_15
It is normal to have feelings about this. It doesn't mean you're weak or not coping. Being completely without feeling about this would feel less natural. Taking a break is normal.,T,ihDezGfSvQs_16
"Like the only people not feeling anxiety are psychopaths. We find ways to laugh and honestly face something scary. It's a sign that you're human, not broken. Emotional intelligence is the ability to feel multiple emotions at once.",T,ihDezGfSvQs_17
"Absolutely. We aren't going to die from feeling anxious. We assess what we need to do and use our strength to manage. We can have depth in our emotions, not just anxiety.",T,ihDezGfSvQs_18
How do you help people use their strength to manage what's going on?,T,ihDezGfSvQs_19
"People are often already handling it in unique ways. I think it's important to recognize the strengths you already have. We build knowledge of our strength by doing hard things. Whether it's sitting with an emotion or solving a problem, doing hard things helps us realize we are strong.",T,ihDezGfSvQs_20
"Clients might feel they can't handle it, but deep inside they are capable. What are some specific examples of strength you've seen?",T,ihDezGfSvQs_21
"I'm seeing survival at its finest. People are problem-solving, networking, and searching for hopefulness. They are looking for ways to use their specific skills to help, even while they have enough to deal with personally.",T,ihDezGfSvQs_22
"It's cool to see people connect and show generosity, like stores opening early for the elderly. People are finding ways to serve in interesting ways through this experience.",T,ihDezGfSvQs_23
"So many people are checking in on each other. When we find ourselves drawn into the scary stuff, we have to pull back and connect with the actual world. We don't just have the negative; we have the positive too.",T,ihDezGfSvQs_24
What's the difference between noticing the positive and burying your head in the sand?,T,ihDezGfSvQs_25
Burying your head in the sand is pretending everything is normal. Taking a break is an intentional choice to step away from the news for a bit to read a book or talk to a friend about something else.,T,ihDezGfSvQs_26
"Are you letting fear run the show, or are you making an intentional choice about your time and energy? Fear happens, but I'm going to choose my actions.",T,ihDezGfSvQs_27
"Bad things happen, but we can still choose when we can how to handle it. When we can't, we're going to get through it. When you have a moment that you can, do something that is helpful.",T,ihDezGfSvQs_28
"We have to look at this once-in-a-lifetime situation actively. The entire world has joined together facing a crisis. We embrace our experiences as valuable, even those we didn't choose. BUILDING strength and realizing our capability could be one piece of this.",T,ihDezGfSvQs_29
So sitting with this and trying to see the good that can come from it. How else do we take in this experience?,T,ihDezGfSvQs_30
"Communicate with friends, family, and neighbors. Sometimes you'll buoy up that person, and sometimes they'll buoy you up. It's awesome to hear how people are coping.",T,ihDezGfSvQs_31
What are some practical steps people should be taking?,T,ihDezGfSvQs_32
"Do what you need to be prepared, like wearing a helmet, but then get out of your own head and do something. When you can't control a situation, move to something else you can work on. Mulling over helplessness draws you into anxiety.",T,ihDezGfSvQs_33
"We should look at what's in our control, even simple things like doing the dishes. Physical movement and exercise are also essential to help the body calm down and think clearly.",T,ihDezGfSvQs_34
"We have to sleep, eat, and keep moving. We have to do those basic things so that we can rationally think clearly and problem-solve. Redirecting your thinking is vital when you feel emotionally flooded.",T,ihDezGfSvQs_35
"When you're overwhelmed, use movement or nature to lower that physiological response. Then you can think more clearly. It's okay if you're not starting a monumental service project; just do something that feels healthier for you.",T,ihDezGfSvQs_36
"Take time to look at what's in your control. When you're calmed down, look at what you value and who you can help. What you look for is what you're going to find.",T,ihDezGfSvQs_37
"The entire world is united in this cause, which might lead to better global action on mental health. I'm seeing teenagers finding safe ways to connect and women doing girls' nights out online. People are being so creative.",T,ihDezGfSvQs_38
"People are having to be really intentional about how they find moments of hope and connect with others. You do a great job at helping people discover that strength inside of them, Monica.",T,ihDezGfSvQs_39
You're also a wonderful therapist. I have such a huge respect for you as a clinician. Thank you for having me here to talk a bit.,T,ihDezGfSvQs_40
"Appreciate you taking the time. Hopefully, as we move forward, people keep looking for resources and seeing the beauty around them. Learn from this experience. Thank you all for watching, and take care.",T,ihDezGfSvQs_41
I noticed the sign's gone. How's the smoking situation?,T,s6UW9b6zncc_1
"Well, I didn't need it anymore. Three weeks, no smoking.",P,s6UW9b6zncc_2
"Oh my goodness, that's wonderful! You must feel fabulous.",T,s6UW9b6zncc_3
"I do. I can taste again, I can breathe again. It's kind of amazing.",P,s6UW9b6zncc_4
Nice. And imagine all the money you've saved.,T,s6UW9b6zncc_5
It's a start. It's good.,P,s6UW9b6zncc_6
It's good. It's good. It's excellent. And how is the job situation?,T,s6UW9b6zncc_7
"I went to check out a drop-in for this one gig at a restaurant on King Street. I didn't think it through and went during dinner time, so that didn't exactly impress them. It was a short-sighted thing to do.",P,s6UW9b6zncc_8
"Because you went at the wrong time. I'm sorry to hear that. Well, now you know you've got to do research to go at the right time. Did you check the list on the door before you left?",T,s6UW9b6zncc_9
Which list?,P,s6UW9b6zncc_10
"The list on the door, remember? Of what you're supposed to do before you leave the house?",T,s6UW9b6zncc_11
"I guess I do. When I remember to, yes.",P,s6UW9b6zncc_12
"I've got another helpful hint. I'm putting these bells on the door. Every time you hear them, it'll remind you to look at the list and make sure you have everything you need for your outing. It'll trigger the habit.",T,s6UW9b6zncc_13
Lovely.,P,s6UW9b6zncc_14
It's another tool to help you be successful. How's the research going for your schooling?,T,s6UW9b6zncc_15
It's good. This option looks like it would make the most sense to do.,P,s6UW9b6zncc_16
"Okay, when's the application date?",T,s6UW9b6zncc_17
"I didn't even check. Hold on. It says it right here at the end... wait, what's today?",P,s6UW9b6zncc_18
"Oh, it's today. Before I go, we'll get into that and make sure your application is in. What do you think?",T,s6UW9b6zncc_19
"Well, I can't not do it if it's right in front of me. I'll leave it right there.",P,s6UW9b6zncc_20
And you'll make sure you do it?,T,s6UW9b6zncc_21
I'll set a timer for that. How long until you want me to do it?,P,s6UW9b6zncc_22
Great. How's your list been going?,T,s6UW9b6zncc_23
"Not bad. I'm mostly remembering to do it. Checking some of these off feels good. Yoga mat, check.",P,s6UW9b6zncc_24
"Nice. Have you been writing on your calendar? Wow, it's filled up! My goodness. Hey, why don't we celebrate three weeks of not smoking? How's that sound?",T,s6UW9b6zncc_25
"Maybe part of the celebration is me treating you to this, because I think that would be nice for a change.",P,s6UW9b6zncc_26
I saw the smoking sign outside and I like this. How are the signs working for you?,T,QpIV2Zqf8F0_1
"You know, when I print them out properly, they're working pretty well but whatever. Yeah, it's really making me feel guilty about smoking, so I have been smoking less.",P,QpIV2Zqf8F0_2
"Good. That's really, really good. So how's the job situation coming along?",T,QpIV2Zqf8F0_3
"I don't know. It kind of sucks to be honest. I was late last shift and my boss was like giving me that, you know, stare of like death and I'm like, you know, thinking why do I keep doing this?",P,QpIV2Zqf8F0_4
Why? Why were you late?,T,QpIV2Zqf8F0_5
"I just I keep missing the bus and that's a stupid excuse, but that's, you know...",P,QpIV2Zqf8F0_6
"First, why don't we put a list on the door to tell you, you know, what you need to go to work, you know, don't forget any of your paraphernalia. So you're making your lists, are you?",T,QpIV2Zqf8F0_7
"Um, and I'm checking them twice. Like, more like 10 times, because...",P,QpIV2Zqf8F0_8
But are they working for you? And I noticed your yoga mats here. Have you been using it?,T,QpIV2Zqf8F0_9
"Yeah, it's it's in my face, but it's not in my way. It's kind of good in that little corner there, so it's been pretty good.",P,QpIV2Zqf8F0_10
It's good to see. And your desk is so organized! I'm loving this. This is great.,T,QpIV2Zqf8F0_11
"It is, right? But I mean, mostly. I really need to... these pens and stuff are not where they should be, so...",P,QpIV2Zqf8F0_12
"Well, look what I have for you. I brought you some trays to put all your files in. So what do you think of that?",T,QpIV2Zqf8F0_13
Looks good. I like the black. It's nice and simple.,P,QpIV2Zqf8F0_14
