ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.","Hi, I'm Deb. I'm one of the nurses here.",1,1,-2,1,0,2,0.5
Kusv2J0M19E_3,Yeah.,"Well, I'm not. I'm a compassionate, client-centered therapist. I'm not going to give you advice or instructions or solutions. I'm not going to tell you what to do.",1,1,-2,1,0,2,0.5
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.",Yeah.,0,0,0,0,0,2,0.3333333333333333
Kusv2J0M19E_7,It kind of surprised you?,"Well, I'm surprised that you would even ask because I thought you were completely committed to this.",-1,-1,-2,-1,-1,1,-0.8333333333333334
Kusv2J0M19E_9,Just a little above average.,"Okay, so you were surprised that you were only there at 50%.",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,"Yeah, it's definitely higher than you thought.",1,1,1,1,0,2,1.0
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...",You have issues.,1,1,1,1,0,2,1.0
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.","Yeah, where the studies have been done.",1,0,1,1,0,2,0.8333333333333334
Kusv2J0M19E_17,Yeah.,So this is really a good opportunity for you to take a look at this and maybe think about some ways that you could be more assertive and less compliant.,-1,0,-2,0,0,1,-0.3333333333333333
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.",So you feel like you've been lucky.,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?","Hi, I'm Deb. I'm one of the nurses here.",1,1,-2,1,0,2,0.5
L1vluZ9uHMY_3,"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?","I'm doing well, thanks for asking. I understand that you've come here today because you've had a recent arrest.",1,1,0,0,0,2,0.6666666666666666
L1vluZ9uHMY_5,All right. So were you ordered by a court or...?,"Okay, well, we'll get to that in a bit. How long have you been working at this particular job?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_7,And how long ago did the crime occur?,Okay. So I'm going to ask you some questions and give you some problems to solve. Please try to answer them as best as you can. What year is this?,0,0,0,1,0,2,0.5
L1vluZ9uHMY_9,"All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.","About a month ago. So Victor, I'm going to ask you some questions and try to get a better understanding of what's going on. Before, we talked about you having feelings of sadness and hopelessness. Can you tell me about that?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_11,Like diagnosing. Is that okay with you?,"Yeah, we'll try to figure out what might be going on.",0,0,-2,0,0,2,0.0
L1vluZ9uHMY_13,All right. So how old are you now?,Okay. So I'm going to start with some questions that will kind of get an overview of you and then we'll get into some detail. So how old are you?,-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_15,All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,"25. Okay. And when did you first notice that you had the uh, uh, anxiety?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_17,And this was a friend of yours?,How much money were you missing from your account?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_19,How do things stand between you and your friend now?,How much money were you missing from them?,1,1,1,1,0,2,1.0
