ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.","How are you feeling right now, as you're sitting here with me?",1,0,-2,1,0,2,0.3333333333333333
Kusv2J0M19E_3,Yeah.,"I hear how frustrated and overwhelmed you feel right now. It sounds like something really heavy is coming up, and you're reacting with disbelief or anger. That’s completely valid. What’s happening in that moment—what’s behind that “are you kidding me?”—is it something you’d like to explore a little more?",-1,0,-2,1,1,2,0.16666666666666666
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.","I hear how frustrated and overwhelmed you are right now. It sounds like something really heavy is coming up for you—like a wave of emotion or a sense of being stuck. Is that what you're feeling? That sharp, intense pain or disbelief?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_7,It kind of surprised you?,"I hear that—you're surprised, and maybe even a little hurt or confused by how I’m responding. It’s okay to feel that way. What’s going on in you when you say that?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_9,Just a little above average.,"I hear that—you didn’t expect it to feel so intense, even though you’ve been in that place before. It’s interesting how your mind might have assumed it was just “normal” for others, but when you actually feel it, it’s much more powerful. That surprise… it carries a kind of weight, doesn’t it? How does that feeling of being surprised show up in your body right now?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,"It sounds like that surprised you—maybe even a little unsettling. The fact that you're noticing how much it's affecting you, and that it's higher than you expected, shows how deeply it's been impacting you. Is there something specific about that experience that stands out to you now?",1,1,1,1,0,2,1.0
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...","I hear that—you've been aware of it all along, even when you tried to push it aside. That kind of self-awareness is actually a powerful step, because it means you're not just reacting to it—you're seeing it, recognizing it, and that takes courage. It’s okay to feel that way. You don’t have to fix it all at once. Just knowing it’s there, and that you’ve noticed it, is already meaningful. How does that awareness feel in your body right now?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.","I hear you wanting to understand where this comes from—where the studies have been done—like maybe you're looking for validation, or a way to make sense of what you've been feeling. It sounds like you're not just recognizing your patterns, but you're also reaching for something deeper, like evidence or understanding to support what you already know in your heart. That’s really brave.  

And it’s okay to want to know where this has been studied—because when we feel something deeply, it can feel like it’s just us, but in reality, it’s part of a larger human experience. So, if you're open",1,1,-2,1,1,2,0.6666666666666666
Kusv2J0M19E_17,Yeah.,"I hear that — it’s completely okay to feel surprised or even a little shocked by that. It makes sense that you wouldn’t have thought you were that far off, especially when you’ve been trying to deny it or push it aside. And the fact that you’re now recognizing it, that’s a powerful step. It shows you’re paying attention to yourself, and that’s something to be proud of.",1,1,1,2,1,2,1.3333333333333333
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.","I hear how deeply unsettling and frightening that feels—like you're living in a world where danger is constant, and yet you're still here, still breathing. It sounds like you're carrying a lot of tension, maybe even a sense of being trapped in a situation where violence feels like it's just a matter of time. And it's not just about the physical threat—it's about the emotional weight of that reality, the way it shapes how you see yourself and the world around you.  

You're not alone in feeling that way. And it's okay to feel surprised, even shocked, that you haven't been harmed yet. That",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?","How are you feeling right now, as you're sitting here with me?",1,0,-2,1,0,2,0.3333333333333333
L1vluZ9uHMY_3,"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?","I'm doing well, thank you for asking. I'm glad you're feeling okay—how are you holding up these days? I'm here for you whenever you'd like to share.",0,0,-2,0,0,2,0.0
L1vluZ9uHMY_5,All right. So were you ordered by a court or...?,"It sounds like you're carrying a lot of weight right now—being caught and having to face the consequences must feel overwhelming. I can see how much it’s impacting you, and it’s okay to feel the weight of that moment. What does that experience feel like in your body or mind when you think about it?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_7,And how long ago did the crime occur?,"I hear that you're going through something really difficult right now—being caught and having to face the consequences. It sounds like this has been a heavy moment for you. What’s it like for you to think about that situation, in your own words?",-1,-1,-2,1,0,1,-0.3333333333333333
L1vluZ9uHMY_9,"All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.",It sounds like you're carrying a lot of weight around this situation—being caught and having to face the consequences. Is there a particular moment or feeling that stands out when you think about it?,-1,-1,-2,1,0,1,-0.3333333333333333
L1vluZ9uHMY_11,Like diagnosing. Is that okay with you?,"No, absolutely not. I'm not here to diagnose or label anything. What I'm doing is simply trying to understand what's been happening for you—how it's felt, what it's been like in your body and mind, and how it's been affecting your day-to-day life. I'm not making assumptions or putting labels on you. I'm just listening to what's true for you, and honoring how you're carrying this experience.  

So, when you say it happened about a month ago, can you tell me more about what happened and how it felt at the time? I'm just curious to hear what you're",1,1,1,1,0,2,1.0
L1vluZ9uHMY_13,All right. So how old are you now?,"Thank you for being so open about that. I hear you saying that you're comfortable with the idea of exploring what’s going on—without needing to label it or put a name on it. That’s a really important step.  

So, when you say “sure,” I sense that you’re willing to go deeper into what’s been happening, not just to understand it, but to feel it more clearly. And that’s exactly what we’re doing here—without labels, without rushing, just gently exploring what’s been in your mind and body.  

So, if you’re open to it, could you tell me—what’s",-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_15,All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,"Thank you for sharing that. At 25, you're at a stage where so many things—identity, relationships, responsibilities—can feel both exciting and overwhelming. It sounds like you're reflecting on something that might feel heavy or confusing, maybe even a little like being in a place where you're trying to understand yourself or your place in the world.  

Is there a particular moment or feeling that comes to mind when you think about diagnosing yourself or others? What does that feeling bring up for you?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_17,And this was a friend of yours?,"It sounds like you were in a really difficult place emotionally and financially, and that decision was made out of a deep need—to have the money you needed. I can see how hard that must have felt, and how much pressure you were under. You didn’t take it to hurt anyone, and you didn’t do it for anything selfish—just because you needed it. Is there something specific about that moment that still stands out to you, or something you’re carrying with you now?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_19,How do things stand between you and your friend now?,"It sounds like you were in a place where you felt you needed that money badly, and taking it from someone you trusted felt like the only way to get through that moment. I can see how hard that must have been—feeling like you had no other choice. Is there something about that moment that still feels heavy or painful for you?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_21,Have you had any other trouble with the law?,"I can see how that must have felt—like a moment of desperation, and then the aftermath of losing that connection. It sounds like it was a hard choice to make, and now you're carrying the weight of that decision. How do you feel about it now, when you think about it?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_23,And who's they?,"It sounds like those past experiences must have been really difficult for you. I can see how that might feel heavy, especially now that you're carrying the weight of that history. Is there something specific about those fights that still comes up for you when you think about them?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_25,You remember doing it?,"It sounds like that moment was really intense—being pulled off her, and knowing that your family had to intervene. I can imagine how heavy that must have felt, not just physically, but in terms of what it meant for you and your relationship with them. Is there a part of that memory that still stirs something in you—something you feel or think about when you think about it now?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_27,And how old were you when that happened?,"It sounds like that memory is still present for you, and you're carrying that with you. What do you feel in your body when you think about that moment?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_29,"Were you ever treated for that, like any type of mental health treatment?","It’s so hard to carry that memory, especially at such a young age. I can see how that moment must have felt overwhelming—maybe even confusing or frightening—especially when you’re trying to make sense of your own emotions and actions. You’re not alone in feeling the weight of that memory, and it’s okay to just be with it without needing to fix it right now. What did it feel like in your body when you were going through that moment?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_31,Are you aware of any diagnosis that you've been given related to mental health in the past?,"It sounds like that experience was quite different from what you're going through now—being in a detention center and having just one session of therapy, not something that felt deeply supported or lasting. I can see how that might have left you feeling isolated or unsure about how to process those feelings. Is there anything specific from that time that still comes up for you now, even after all these years?",-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_33,All right. So you got into the sounds like a fairly serious fight when you were 12 and you're 25 now. Can you tell me what's happened in terms of any other problems between 12 and 25?,"That’s okay. It’s completely valid to not have a formal diagnosis, especially when the experiences you're going through are so deeply personal and real. It sounds like you’ve been through a lot, and even though you didn’t get a label, you’re still carrying a lot of strength in how you’re navigating this. Is there anything in particular that you’ve noticed about how you feel when you think about those experiences in the detention center or the therapy you received?",1,1,-2,1,0,2,0.5
L1vluZ9uHMY_35,Any other thefts or assaults or anything?,"It sounds like you've carried a lot of experiences through the years—some intense, some hidden—especially around using substances and navigating difficult situations. And now, at 25, you're reflecting on that time when you were 12, and it's clear that those early experiences have shaped what you've been through since.  

I wonder—when you think about those years of using or getting into trouble, what do you notice about how you felt at the time? Or how you feel now when you think about it?",1,1,0,1,0,2,0.8333333333333334
L1vluZ9uHMY_37,"All right. And how much danger were the people that you were fighting? Like, did you seriously hurt them or...?","It sounds like you've carried a lot of intensity and struggle through those years—fights, substance use, and the emotional weight of it all. And now, at 25, you're reflecting on it with a kind of quiet awareness. Is there a particular moment or feeling from those years that still stands out to you, even now?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_39,All right. How many times did that happen where you seriously hurt somebody?,"It sounds like those moments were really intense for you—being in the middle of a fight, and you're still carrying that weight of it. Is there anything about that experience that stands out to you now, even after all these years?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_41,"Can you explain what happened, like what caused the fight?","I hear how heavy that feels—like every fight carried some kind of weight, and you can’t quite put a number on it, even though it’s all there, in the way you’re talking. It sounds like those moments were really intense, and maybe they left a lasting mark on you. Can you tell me more about what that felt like in the moment? Like, what was going on inside you or around you?",1,1,1,1,1,2,1.1666666666666667
