ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.",It sounds like this feels pretty unbelievable to hear. What’s coming up for you as you take that in?,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_3,Yeah.,"Yeah, it is high, and I can hear how surprising that is for you.",1,1,1,1,0,2,1.0
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.","Yeah, that’s a big difference from what you expected.",1,1,1,1,0,2,1.0
Kusv2J0M19E_7,It kind of surprised you?,It sounds like you’re really taken aback by that number.,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_9,Just a little above average.,"You were expecting something much lower, more in that average range.",1,1,1,1,0,2,1.0
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,"Wow, that feels like a big jump from what you had in mind.",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...","I hear that you’ve been aware of this for a while, even if it’s been hard to fully face. What’s it like to say that out loud here?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.","You’re wondering about the basis for it, the studies behind where that number comes from?",1,1,1,1,0,2,1.0
Kusv2J0M19E_17,Yeah.,"It sounds like seeing that number brought up a lot for you, even though you already knew there were concerns. What is it like for you to hear it described that way now?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.","I hear that you’re aware of how serious things have felt, and there’s a lot of fear and surprise in what you’re saying. It sounds like you’ve been carrying a sense that things could have gone very differently; what has it been like for you to live with that?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?",,-1,-1,-2,-1,-1,-1,-1.1666666666666667
