ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.","Hi, Sherry. How are you doing today?",1,1,1,1,0,2,1.0
Kusv2J0M19E_3,Yeah.,I'm not kidding. It's a really important part of being a good mom.,-1,-1,-2,1,0,1,-0.3333333333333333
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.",Yeah. That high.,1,1,0,1,0,2,0.8333333333333334
Kusv2J0M19E_7,It kind of surprised you?,That it's a five?,1,1,1,1,0,2,1.0
Kusv2J0M19E_9,Just a little above average.,"Okay, so you thought you were going to be in the higher percentage.",1,1,1,1,0,2,1.0
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,"Yeah, that's a pretty high level of anxiety.",1,1,1,1,0,2,1.0
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...",So you're not happy with the way you've been handling it?,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.","Yeah, with people who have similar problems, similar anger issues.",-1,-1,-2,0,0,1,-0.5
Kusv2J0M19E_17,Yeah.,"Mhmm. So you're pretty much aware of being a little different, but not necessarily in a way that's been distressing to you?",1,1,1,1,0,2,1.0
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.",So you're surprised that you're still alive?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?","Hi, Sherry. How are you doing today?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_3,"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?","I'm doing well, thanks for asking. How have things been going?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_5,All right. So were you ordered by a court or...?,So you were caught stealing and now you're here. Are you on any other medications or anything?,-1,0,-2,0,0,2,-0.16666666666666666
L1vluZ9uHMY_7,And how long ago did the crime occur?,"Alright, so you were ordered to come in by a court. Do you understand why you're here?",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_9,"All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.",About a month ago. And when did the symptoms start?,0,0,0,1,0,2,0.5
L1vluZ9uHMY_11,Like diagnosing. Is that okay with you?,"Yeah, yeah, I'll get to that. So I want to talk about your history, so I'm going to ask you some questions about your family and your friends and your life. So this is just kind of a fact-finding mission, so I just want to get some information and then we can kind of talk about how things have been going for you recently.",0,0,-2,0,0,2,0.0
L1vluZ9uHMY_13,All right. So how old are you now?,All right. So I'll be asking you some questions and trying to get a better understanding of what's going on.,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_15,All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,"25. Okay. And you're a junior. Okay, great. Now let's do this. Let's go back to the first time that you can remember having an episode like you described where you felt like you either lost control of your eating or that you were concerned about your shape or your weight. When was the first time that you remember that happening?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_17,And this was a friend of yours?,And how much money did you take?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_19,How do things stand between you and your friend now?,So this was a friend of yours and you stole money from them. How much did you take?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_21,Have you had any other trouble with the law?,She turned you in?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_23,And who's they?,Lots of fights?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_25,You remember doing it?,Is that the worst thing you've ever done?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_27,And how old were you when that happened?,How do you feel about it now?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_29,"Were you ever treated for that, like any type of mental health treatment?",12 years old. And when did you move to where you are now?,1,0,1,1,0,2,0.8333333333333334
L1vluZ9uHMY_31,Are you aware of any diagnosis that you've been given related to mental health in the past?,So this is different for you. Yeah. And are you happy with the way you're being treated now?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_33,All right. So you got into the sounds like a fairly serious fight when you were 12 and you're 25 now. Can you tell me what's happened in terms of any other problems between 12 and 25?,How about now?,0,0,-2,0,0,2,0.0
L1vluZ9uHMY_35,Any other thefts or assaults or anything?,When was the last time you used?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_37,"All right. And how much danger were the people that you were fighting? Like, did you seriously hurt them or...?","About 20? Okay. So you've been out of the house since you were 12, so approximately 8 years. And you've been doing pretty well.",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_39,All right. How many times did that happen where you seriously hurt somebody?,How seriously?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_41,"Can you explain what happened, like what caused the fight?","So every time you got into a fight, you felt like you had to act on that.",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_43,What are your feelings about that?,"Okay, so there was some physical violence there. Um, and you felt like you had to do that to defend yourself?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_45,Because of the way she looked at you?,How did that make you feel when you were at school?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_47,Do you ever have any feelings of guilt or remorse about that?,So what did she do that convinced you that she was a cheater?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_49,Have you ever apologized to any of the people that were hurt?,How about feelings of worthlessness?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_51,"Oh, so in some of these situations, apologizing was kind of required?",So it wasn't a genuine apology.,-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_53,So you apologized to them but you didn't really mean it? Or what were you thinking?,But your heart wasn't in it.,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_55,Were you successful in getting out of trouble?,But it sounded like you felt bad about it.,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_57,You say that with a little pride. Is it something you take pride in? Being able to get out of trouble?,But it's not a solution.,0,0,-2,0,0,2,0.0
L1vluZ9uHMY_59,So that's like something you look at as like a skill that you have?,"Well, I can see how it would be frustrating to be in that situation. What are some of the things that you do that you feel have helped you?",-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_61,"Have you ever for the theft type activities, you ever felt any guilt or remorse there?",So you're good at it.,1,0,0,1,0,2,0.6666666666666666
