model,n_rows,L2,L1,L2_NJ,L2_WE,L2_RA,L2_AL,L2_RF,L2_SA,L1_NJ,L1_WE,L1_RA,L1_AL,L1_RF,L1_SA
Qwen3-4B-Instruct-2507-zeroshot,943,0.9724284199363733,0.6313184870979145,1.0116648992576882,0.88016967126193,2.2778366914103922,0.7317073170731707,0.7295864262990456,0.20360551431601273,0.672322375397667,0.6871686108165429,1.0731707317073171,0.5514316012725344,0.6277836691410392,0.176033934252386
Ministral-8B-Instruct-2410-zeroshot,943,1.0026511134676563,0.6339696005655708,1.0095440084835632,0.8674443266171792,2.620360551431601,0.694591728525981,0.6511134676564156,0.1728525980911983,0.6659597030752916,0.6935312831389183,1.173913043478261,0.5397667020148462,0.5726405090137858,0.15800636267232238
Ministral-8B-Instruct-2410-fewshot,943,1.0160834217037822,0.6428066454577589,1.1622481442205725,0.8759278897136797,2.5334040296924707,0.6882290562036055,0.6299045599151644,0.2067868504772004,0.7274655355249204,0.6998939554612937,1.146341463414634,0.5418875927889714,0.5493107104984093,0.1919406150583245
Qwen3-4B-Instruct-2507-fewshot,943,1.0190880169671261,0.6419229409685401,1.0159066808059385,0.9480381760339343,2.5217391304347827,0.7094379639448568,0.7179215270413574,0.2014846235418876,0.6680805938494168,0.7232237539766702,1.1325556733828208,0.5440084835630965,0.6097560975609756,0.17391304347826086
gemma-3-4b-it-fewshot,943,1.0775892541534111,0.6608342170378225,1.0763520678685048,0.9066808059384942,2.88016967126193,0.7306468716861082,0.6617179215270413,0.20996818663838812,0.6967126193001061,0.6924708377518558,1.2513255567338282,0.5588547189819725,0.5705196182396607,0.1951219512195122
gpt-5.4-mini-zeroshot,943,1.086603039943443,0.6620714033227288,1.127253446447508,0.9194061505832449,2.7094379639448567,0.7465535524920467,0.6532343584305408,0.3637327677624602,0.711558854718982,0.7051961823966065,1.2014846235418877,0.559915164369035,0.5471898197242842,0.24708377518557795
gemma-3-4b-it-zeroshot,943,1.136797454931071,0.6896429833863557,1.2173913043478262,0.9034994697773064,2.972428419936373,0.7751855779427359,0.6861081654294804,0.26617179215270415,0.7720042417815483,0.7020148462354189,1.2778366914103925,0.5737009544008483,0.5927889713679746,0.21951219512195122
gpt-5.4-mini-fewshot3,943,1.1518204312477907,0.6919406150583245,1.2301166489925768,0.9798515376458112,2.9056203605514317,0.7751855779427359,0.7020148462354189,0.3181336161187699,0.7720042417815483,0.7338282078472959,1.2576882290562037,0.5673382820784729,0.5811240721102863,0.23966065747614
Llama-3.2-1B-Instruct-zeroshot,943,1.1617179215270415,0.7036055143160127,1.1696712619300107,0.9830328738069989,3.130434782608696,0.7560975609756098,0.7136797454931071,0.21739130434782608,0.76033934252386,0.7497348886532343,1.3382820784729585,0.5694591728525981,0.6076352067868505,0.19618239660657477
Ministral-8B-Instruct-2410,943,1.2875574407917991,0.7488511841640155,1.3616118769883352,1.0455991516436904,3.2895015906680807,0.9671261930010604,0.6617179215270413,0.3997879109225875,0.8419936373276776,0.7444326617179216,1.3849416755037116,0.6659597030752916,0.5344644750795334,0.3213149522799576
Llama-3.2-1B-Instruct-fewshot,943,1.3105337575114882,0.7721809826793921,1.5005302226935313,1.0774125132555674,3.482502651113468,0.799575821845175,0.662778366914104,0.3404029692470838,0.8981972428419936,0.7974549310710498,1.4591728525980912,0.6129374337221634,0.5715800636267232,0.29374337221633084
GOLD_REFERENCE,943,1.323966065747614,0.7530929657122658,1.415694591728526,1.0965005302226936,3.486744432661718,0.9406150583244963,0.6299045599151644,0.3743372216330859,0.8685047720042418,0.767762460233298,1.4485683987274656,0.6436903499469777,0.4941675503711559,0.295864262990456
Qwen3-4B-Instruct-2507,943,1.3983739837398375,0.7907387769529869,1.4612937433722164,1.0943796394485683,3.8101802757158008,0.9989395546129375,0.6521739130434783,0.37327677624602335,0.8822905620360552,0.7783669141039237,1.56203605514316,0.6977730646871686,0.5100742311770944,0.3138918345705196
gemma-3-4b-it,943,1.4432661717921527,0.8098267939201131,1.6076352067868505,1.1601272534464475,3.869565217391304,1.0063626723223753,0.6415694591728526,0.3743372216330859,0.943796394485684,0.7910922587486744,1.5832449628844114,0.694591728525981,0.5058324496288441,0.3404029692470838
Llama-3.2-1B-Instruct,943,1.4485683987274656,0.8218451749734889,1.5429480381760339,1.1887592788971368,3.6224814422057263,1.1876988335100742,0.7444326617179216,0.4050901378579003,0.9172852598091198,0.8197242841993637,1.4994697773064687,0.7804878048780488,0.574761399787911,0.33934252386002123
