ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.","Patient: I've been feeling really anxious lately. I don't know what's causing it, but it's been making it hard for me to sleep at night. I've been having these dreams that I can't shake off. They're not nightmares, but they're just... unsettling.

Therapist: It sounds like you're feeling quite anxious and these dreams are adding to that. Can you tell me more about what's been unsettling you in these dreams?",-1,0,-2,0,0,1,-0.3333333333333333
Kusv2J0M19E_3,Yeah.,I'm really sorry to hear that you're feeling this way. It sounds like you're going through a lot right now. Can you tell me more about what's been making you feel this way?,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.",I hear that you're feeling overwhelmed.,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_7,It kind of surprised you?,I can understand that. It's a lot to take in.,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_9,Just a little above average.,It sounds like you're feeling a bit taken aback by the high percentage.,1,1,1,1,0,2,1.0
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,It's quite a bit higher than you expected.,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...",It sounds like you've been aware of this for a while and it's been a struggle for you. How does it feel to finally acknowledge this?,-1,-1,-2,0,0,1,-0.5
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.",It sounds like you're feeling a bit overwhelmed by the intensity of your anger. How does that make you feel?,-1,-1,-2,-1,0,1,-0.6666666666666666
Kusv2J0M19E_17,Yeah.,It's understandable that you might feel surprised or even a bit overwhelmed by that information. How are you feeling about this new understanding of your situation?,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.",It sounds like you're feeling a lot of tension and fear about your safety. It's understandable that you might feel this way given the environment you're in. How are you currently managing these feelings?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?","Patient: I've been feeling really anxious lately. I don't know what's causing it, but it's been making it hard for me to sleep at night. I've been having these dreams that I can't shake off. They're not nightmares, but they're just... unsettling.

Therapist: It sounds like you're feeling quite anxious and these dreams are adding to that. Can you tell me more about what's been unsettling you in these dreams?",-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_3,"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?",I'm glad to hear that you're doing well. How has your week been?,1,0,0,0,0,2,0.5
L1vluZ9uHMY_5,All right. So were you ordered by a court or...?,I see. It sounds like you're feeling a lot of pressure and maybe even some shame about what happened. How are you feeling right now?,1,1,1,1,1,2,1.1666666666666667
