ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.","Hi, Ms. Jones. I'm Dr. Sawyer. I'm a psychiatrist.",-1,-1,-2,-1,-1,1,-0.8333333333333334
Kusv2J0M19E_3,Yeah.,"No, I'm not. I understand you're frustrated, but you're not going to change because I'm telling you what to do. You have to decide to change.",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.",Yeah.,0,0,0,0,0,2,0.3333333333333333
Kusv2J0M19E_7,It kind of surprised you?,I know it's hard for you to hear that.,-1,-1,-2,1,0,2,-0.16666666666666666
Kusv2J0M19E_9,Just a little above average.,So it's surprising to you that it's actually at the 25%?,1,1,1,1,0,2,1.0
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,"Yeah, it's way up there. And you know, I remember when we talked about this, you were really concerned about your confidence on this. You felt like you didn't have much confidence at all on this. And now it sounds like you have a lot of confidence on this.",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...","You know I'm at that stage where I'm aware that I have problems and I know I have problems and I'm aware of that and I'm trying to say, you know, ""Okay, I know I'm going to have a bad day,"" but then I get into a situation where I end up having a really bad day.",0,0,-2,0,0,2,0.0
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.","Well, I was looking at the research in this area and I was looking at the correlation between depression and anger and whatnot, and I was able to find some studies that do suggest that there is a link.",1,0,0,1,0,2,0.6666666666666666
Kusv2J0M19E_17,Yeah.,"Yeah, so sort of the top 1% of the population for this type of thing.",1,1,1,1,0,2,1.0
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.",You're surprised it hasn't happened.,1,1,1,1,0,2,1.0
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?","Hi, Ms. Jones. I'm Dr. Sawyer. I'm a psychiatrist.",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_3,"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?","I'm good, thanks for asking. I understand you've come here today because you've had a recent arrest.",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_5,All right. So were you ordered by a court or...?,"So you were caught stealing, and that's what brought you into the agency.",1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_7,And how long ago did the crime occur?,"So you were ordered to come in, but you didn't want to go.",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_9,"All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.","About a month ago. All right. So you've been having some symptoms that have been bothering you, and you said you've been feeling down. You said a lot of anxiety, and you're having trouble concentrating. Any other symptoms?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_11,Like diagnosing. Is that okay with you?,"Yeah, I think that's what I was thinking.",1,1,1,1,0,2,1.0
L1vluZ9uHMY_13,All right. So how old are you now?,Okay. So tell me about your home situation.,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_15,All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,"You're 25. Okay, so you're 25. How's that made you feel?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_17,And this was a friend of yours?,And how much did you steal?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_19,How do things stand between you and your friend now?,So this was something that you took from a friend?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_21,Have you had any other trouble with the law?,And how was that?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_23,And who's they?,How old were you when that was?,1,0,1,1,0,2,0.8333333333333334
L1vluZ9uHMY_25,You remember doing it?,So there was a physical fight and you were the one that was pulled off her.,-1,-1,-2,1,0,1,-0.3333333333333333
L1vluZ9uHMY_27,And how old were you when that happened?,And that was when you were younger?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_29,"Were you ever treated for that, like any type of mental health treatment?",12. Yeah. And then she never came after you?,1,0,1,1,0,2,0.8333333333333334
L1vluZ9uHMY_31,Are you aware of any diagnosis that you've been given related to mental health in the past?,Nothing like what you're doing now?,0,0,0,1,0,2,0.5
L1vluZ9uHMY_33,All right. So you got into the sounds like a fairly serious fight when you were 12 and you're 25 now. Can you tell me what's happened in terms of any other problems between 12 and 25?,How about family history? Any medical history of mental health conditions in your family?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_35,Any other thefts or assaults or anything?,All right. When was the last time you used or are you using?,0,0,0,0,0,2,0.3333333333333333
L1vluZ9uHMY_37,"All right. And how much danger were the people that you were fighting? Like, did you seriously hurt them or...?",How about now? Any changes from when you were 20?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_39,All right. How many times did that happen where you seriously hurt somebody?,And what was going on that led to that? You mentioned before that you had a fight the other day at school?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_41,"Can you explain what happened, like what caused the fight?","No, no. How about sisters?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_43,What are your feelings about that?,"Alright, so you punched her in the mouth. Did anybody else get involved?",1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_45,Because of the way she looked at you?,And what did you think was the evidence that she deserved it?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_47,Do you ever have any feelings of guilt or remorse about that?,"And that's what you thought when you were in high school, right? That's what you thought when you were in high school. And then did anything change about that thought that made you think that it's not true, that you're not a bad person because you didn't punch her?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_49,Have you ever apologized to any of the people that were hurt?,No. All right. So you've been having some difficulty with the coursework. And you mentioned that there's some stress in your relationship. How about any stress in your work environment?,-1,0,-2,1,0,2,0.0
L1vluZ9uHMY_51,"Oh, so in some of these situations, apologizing was kind of required?",So you used the word appease. What did you mean by that?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_53,So you apologized to them but you didn't really mean it? Or what were you thinking?,And how'd you feel after?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_55,Were you successful in getting out of trouble?,And now that's what you've been doing.,0,0,-2,0,0,2,0.0
L1vluZ9uHMY_57,You say that with a little pride. Is it something you take pride in? Being able to get out of trouble?,How did that make you feel?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_59,So that's like something you look at as like a skill that you have?,"Yeah, I would like to think so.",1,1,1,1,0,2,1.0
L1vluZ9uHMY_61,"Have you ever for the theft type activities, you ever felt any guilt or remorse there?",Yeah. So you have a good handle on that.,1,1,1,1,0,2,1.0
L1vluZ9uHMY_63,It's kind of the same thing?,No. Have you ever had any thoughts of death or dying?,1,0,0,0,0,2,0.5
L1vluZ9uHMY_65,Were you ever the victim of a crime?,So you were more concerned with how you felt about it and your belief that you weren't worthy than with the consequences.,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_67,"Do you feel that you're good in working with people, like in terms of social skills?","And how about now? We've talked about before how you're quick to anger, and that's something you've been working on.",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_69,So you're effective at managing relationships to get what you want?,"But in the process of getting what you want, do you have to do it in a way that hurts or damages other people's feelings?",1,0,-2,1,0,2,0.3333333333333333
L1vluZ9uHMY_71,How would you describe your mood most of the time?,"All right. So I want to switch gears again to trauma history. And this is just another thing that we don't really get a chance to talk about in the first interview, and I know that you mentioned that you were in a car accident. Can you tell me about that?",1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_73,How often does that happen?,A little irritable. How about anger?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_75,All right. Does that irritability ever lead to or has ever led to some of the aggressiveness you've...?,How about in what areas do you find that you're irritable?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_77,So you're more likely to be aggressive when you've been irritable for a while?,All right. Do you have trouble waiting your turn or blushing?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_79,When was the last time you were involved in a physical fight?,All right. So you mentioned that you've been using for a while. How long?,0,0,0,1,0,2,0.5
L1vluZ9uHMY_81,About five years ago?,20? Okay. So you've been having some symptoms for a while. I want to ask you some questions about them. Do you feel like they're bothering you at all?,-1,-1,-2,0,-1,1,-0.6666666666666666
L1vluZ9uHMY_83,What do you think has caused that to stop?,So you've been having some symptoms that have been bothering you?,-1,0,-2,0,0,2,-0.16666666666666666
L1vluZ9uHMY_85,What type of things?,And what might be some things that you might be better at?,-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_87,So the stealing's more gratifying than the fighting?,And how often does that happen?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_89,"So irritable and any other emotions, any other feelings?","So the reasons that you think would make you stop eating Skittles are related to the school environment, the school itself, and that your friend is making you feel bad about yourself. Is that about right?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_91,All right. You have a job?,Do you remember the last time you had a good day?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_93,Can you tell me about your work performance and your experience there?,You did? Tell me what happened to do to get to work.,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_95,You show up most of the time?,"And when you were there, did you feel respected there?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_97,How would your employer describe you as an employee?,And what were you doing when you were there?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_99,"All right. So in terms of your feelings about missing work, that's not too worrisome for you?","So you're doing pretty well for yourself, but there is some room for improvement.",0,0,-2,0,0,2,0.0
L1vluZ9uHMY_101,How many jobs have you had?,All right. How about your friends?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_103,Six jobs? At what age did you first start working?,All right. How long have you had these symptoms?,0,0,-2,1,0,2,0.16666666666666666
L1vluZ9uHMY_105,So six jobs in about six years?,19? How's that...,-1,-1,-2,0,0,2,-0.3333333333333333
L1vluZ9uHMY_107,"And would you say that your experience with all the employers was the same in terms of how you showed up for work and missing work, or were any of them different?",All right. And you've been working full time. So any other income?,1,0,1,1,0,2,0.8333333333333334
L1vluZ9uHMY_109,Kind of do things your own way?,"Okay, so that was a tough situation. And you didn't conform.",1,1,1,1,0,2,1.0
L1vluZ9uHMY_111,What do you want to gain out of treatment here?,And how would you rate yourself when you're driving?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_113,"You're in trouble now, and you'd like to get out of trouble?",What do you think would happen if you got out of trouble?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_115,"All right, Lisa, this has been helpful. I'm going to get you scheduled for treatment, and they'll probably get you in about a week, and we can go from there.",What would be a trouble of getting out of trouble?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_117,All right. Thank you.,"Thanks, Lisa.",-1,-1,-2,-1,-1,-1,-1.1666666666666667
P624_q04ZWg_1,"Hi Jackie, how are you doing today?","Hi, Ms. Jones. I'm Dr. Sawyer. I'm a psychiatrist.",-1,-1,-2,-1,-1,1,-0.8333333333333334
P624_q04ZWg_3,"You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.","I'm doing well, thanks for asking. I understand you've been having some recent difficulties that brought you into our agency.",-1,-1,-2,-1,0,1,-0.6666666666666666
P624_q04ZWg_5,You lost your job?,Lost your job. How recent?,1,1,1,1,1,2,1.1666666666666667
P624_q04ZWg_7,"Were you aware that if there was an accident, you'd be drug tested?","So you admitted to the drug use after failing the test, right? And that's what led to the termination.",1,1,1,1,0,2,1.0
P624_q04ZWg_9,"Hm. So there, has there been consequences to losing your job?",So you're not sure if they told you at any point.,1,0,1,1,0,2,0.8333333333333334
P624_q04ZWg_11,"Alright, what type of work do you do?",Okay. So you don't have any money.,0,0,-2,0,0,2,0.0
P624_q04ZWg_13,"All right. So, most of those employers would require a drug screen?","So you monitor, you stay in the parking lot and you take tickets. And what kind of tickets?",-1,-1,-2,0,-1,1,-0.6666666666666666
P624_q04ZWg_15,You think it should be legal?,"So you really want to work and you don't want to work right now. You have a lot of responsibilities and you're worried about your responsibilities, your family.",1,1,1,1,1,2,1.1666666666666667
P624_q04ZWg_17,So you want to stop using marijuana altogether?,"All right, so you're looking for a job and you have a drug test, um, one of the requirements. Um, are there any other requirements?",1,0,1,1,0,2,0.8333333333333334
P624_q04ZWg_19,"All right, can you tell me about your marijuana use now? Like, when was the last time you used?",So you're worried about your employment status being affected by your drug use.,1,1,1,1,1,2,1.1666666666666667
P624_q04ZWg_21,"All right, so recently. And how about the course? Like, when did you start using marijuana?","Okay, so sometime in the last week?",1,1,1,1,0,2,1.0
P624_q04ZWg_23,All right. Any other drugs or alcohol or anything? Just marijuana?,"All right, so you've been using for a long time. And it's been a problem for you?",1,0,0,1,0,2,0.6666666666666666
P624_q04ZWg_25,Have you noticed over time you've been using more?,"All right. So I want to talk about the marijuana. When you use marijuana, in what kind of amount and how often do you use it?",-1,0,-2,1,0,2,0.0
P624_q04ZWg_27,"So it's consuming a lot of time, marijuana?","All right, so that's been a fairly steady pace for a while. How about any times when you've gone more than two days without a drink?",1,0,1,1,0,2,0.8333333333333334
P624_q04ZWg_29,All right. You have a craving for marijuana?,And how much time do you spend using it?,-1,0,-2,1,0,2,0.0
P624_q04ZWg_31,"Now, have you had any social problems because of your marijuana use?","Okay. How about, uh, anxiety? Have you noticed any change in anxiety levels?",1,1,1,1,0,2,1.0
P624_q04ZWg_33,Are there other important activities that you miss out on because of your marijuana use? Outside of work.,All right. How about any social problems that occur because of the alcohol?,-1,0,-2,0,0,2,-0.16666666666666666
P624_q04ZWg_35,You don't miss much. Are there any activities that you engage in that are more dangerous because of your marijuana use?,No. Any social problems because of your marijuana use?,1,0,0,1,0,2,0.6666666666666666
P624_q04ZWg_37,Do you have any history of mental health issues or medical issues?,Do you feel like you're in any danger of causing an accident?,0,0,0,1,0,2,0.5
P624_q04ZWg_39,Do you notice any anxiety or physical symptoms when you stop using marijuana?,How about family history? Any history of mental health conditions in your family?,-1,-1,-2,0,0,1,-0.5
