rank	conv_id	ctrs_p	mean6_avg	therapist_turns	neg_rate	has_negative_care
1	PZi1Vl2p8xw	1.6027777777777779	1.3703703703703702	18	0.0	False
2	X7o-_2Ityd0	1.5980769230769232	1.4102564102564104	13	0.0	False
3	_qYgF_e4EQQ	1.575	1.3888888888888886	9	0.0	False
4	jS1KE3_Pqlc	1.5541666666666667	1.4166666666666667	6	0.0	False
5	9ZuwEWLHHHY	1.5204545454545455	1.3333333333333333	11	0.0	False
6	pGhtido14gk	1.52	1.4166666666666665	10	0.0	False
7	P99PqrK775g	1.5150000000000001	1.3444444444444443	15	0.0	False
8	URiKA7CKtfc	1.4986842105263158	1.3596491228070178	19	0.0	False
9	rRze7Na1MXg	1.48125	1.3125	8	0.0	False
10	JTcjMPoxUTM	1.48	1.3222222222222224	15	0.0	False
11	YKDQ6mU4V6k	1.4249999999999998	1.2916666666666667	16	0.0	False
12	3374lbYdGqk	1.407142857142857	1.2857142857142854	14	0.0	False
13	jxNBQKMW1wg	1.4056451612903227	1.263440860215054	31	0.0	False
14	Wx8F9uwQTnY	1.3722972972972973	1.2252252252252254	37	0.0	False
15	tq_yyMVax_c	1.3454545454545455	1.196969696969697	11	0.0	False
16	F-zT2tj53NY	1.33	1.15	10	0.0	False
17	pvTGgLtVDNU	1.3283333333333334	1.2333333333333336	15	0.0	False
18	wYTzxk1g5LI	1.328125	1.2916666666666665	8	0.0	False
19	xaHms5z-yuM	1.3277777777777777	1.2037037037037037	9	0.0	False
20	dJ1eDL15_Lw	1.3151515151515152	1.1919191919191918	33	0.0	False
21	LmB3ZQ2F1MY	1.3060185185185185	1.1759259259259258	54	0.0	False
22	XUVQ5dGB1x0	1.3015625	1.1927083333333335	32	0.0	False
23	88qr91P1lsA	1.2972222222222223	1.2296296296296296	45	0.0	False
24	8N1PzEFw0oE	1.297222222222222	1.2333333333333334	45	0.0	False
25	ZJQgSGp18Mc	1.288888888888889	1.259259259259259	9	0.0	False
26	Ii2FHbtVJzc	1.275	1.166666666666667	36	0.0	False
27	Kv2s834dG5c	1.2727272727272727	1.1666666666666667	11	0.0	False
28	xkbEtIr08JU	1.261111111111111	1.2222222222222223	18	0.0	False
29	1jfH055byg4	1.259375	1.2239583333333333	32	0.09375	True
30	nYk8Xs7Qee4	1.2522727272727272	1.1515151515151514	11	0.0	False
31	_gPcDRVALVo	1.25	1.1290322580645158	31	0.0	False
32	VKdjQYtbiic	1.2394736842105263	1.1359649122807016	38	0.0	False
33	W3hMmZQAdhw	1.2330357142857142	1.1666666666666667	28	0.0	False
34	Qwbm0s5970M	1.2321428571428572	1.1547619047619047	28	0.0	False
35	P3JUXQ4kkHs	1.2285714285714286	1.1904761904761905	21	0.0	False
36	VQD12PPjFrU	1.2173076923076922	1.1025641025641026	13	0.0	False
37	5UHbkDeYYYY	1.2	1.14367816091954	29	0.034482758620689655	True
38	PK-Sq7I7M54	1.1988636363636362	1.1439393939393938	22	0.0	False
39	o6AdcHbVujg	1.1875	1.1458333333333335	8	0.0	False
40	ZB28gfSmz1Y	1.1829268292682926	1.08130081300813	41	0.0	False
41	4-bH55MCa1U	1.179054054054054	1.1081081081081083	37	0.0	False
42	sW5HDbm09ZE	1.1733333333333333	1.0111111111111113	15	0.0	False
43	f8QSA_5PEFM	1.172222222222222	1.0925925925925926	18	0.0	False
