ID,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness
7LD8iC4NqXM_1,0,0,-2,0,0,2
7LD8iC4NqXM_3,1,1,1,1,0,2
7LD8iC4NqXM_5,1,1,1,1,0,2
7LD8iC4NqXM_7,1,1,1,1,0,2
7LD8iC4NqXM_9,1,1,1,1,0,2
7LD8iC4NqXM_11,1,1,1,1,1,2
7LD8iC4NqXM_13,1,1,1,2,1,2
7LD8iC4NqXM_15,1,0,-2,1,0,2
7LD8iC4NqXM_17,-1,0,-2,1,0,2
7LD8iC4NqXM_19,1,1,1,1,1,2
7LD8iC4NqXM_21,1,1,1,1,1,2
7LD8iC4NqXM_23,1,1,1,1,1,2
7LD8iC4NqXM_25,1,1,1,1,1,2
7LD8iC4NqXM_27,1,1,1,1,0,2
7LD8iC4NqXM_29,-1,0,-2,1,0,2
7LD8iC4NqXM_31,1,1,1,1,1,2
7LD8iC4NqXM_33,-1,-1,-2,1,0,2
7LD8iC4NqXM_35,1,1,1,1,0,2
7LD8iC4NqXM_37,1,0,1,1,0,2
7LD8iC4NqXM_39,-1,1,-2,1,1,2
7LD8iC4NqXM_41,1,1,1,1,1,2
7LD8iC4NqXM_43,1,1,1,1,1,2
7LD8iC4NqXM_45,1,1,1,1,1,2
7LD8iC4NqXM_47,1,1,1,1,0,2
7LD8iC4NqXM_49,1,1,1,1,1,2
7LD8iC4NqXM_51,-1,0,-2,1,0,2
7LD8iC4NqXM_53,-1,0,-2,0,0,2
7LD8iC4NqXM_55,1,1,1,1,1,2
7LD8iC4NqXM_57,1,1,1,1,1,2
7LD8iC4NqXM_59,1,1,1,1,0,2
7LD8iC4NqXM_61,0,0,-2,1,0,2
7LD8iC4NqXM_63,1,1,1,1,1,2
7LD8iC4NqXM_65,-1,0,-2,0,0,1
7LD8iC4NqXM_67,1,1,1,1,1,2
7LD8iC4NqXM_69,1,1,1,1,0,2
ofnnuwscA1Y_1,-1,-1,-2,-1,-1,-1
ofnnuwscA1Y_3,1,1,0,1,0,2
ofnnuwscA1Y_5,0,0,-2,0,0,2
ofnnuwscA1Y_7,0,0,-2,1,0,2
ofnnuwscA1Y_9,0,0,-2,0,0,2
ofnnuwscA1Y_11,-1,-1,-2,-1,-1,1
ofnnuwscA1Y_13,1,0,-2,1,0,2
ofnnuwscA1Y_15,-1,-1,-2,-1,-1,1
ofnnuwscA1Y_17,0,0,0,1,0,2
ofnnuwscA1Y_19,-1,-1,-2,-1,-1,1
ofnnuwscA1Y_21,0,0,-2,1,0,2
ofnnuwscA1Y_23,1,1,1,1,0,2
ofnnuwscA1Y_25,-1,-1,-2,-1,-1,-1
ofnnuwscA1Y_27,-1,-1,-2,-1,0,1
ofnnuwscA1Y_29,-1,-1,-2,0,0,1
ofnnuwscA1Y_31,-1,-1,-2,0,0,1
ofnnuwscA1Y_33,-1,-1,-2,1,0,1
ofnnuwscA1Y_35,-1,-1,-2,-1,-1,1
ofnnuwscA1Y_37,1,0,-2,1,0,2
ofnnuwscA1Y_39,0,0,0,1,0,2
ofnnuwscA1Y_41,1,1,1,1,0,2
ofnnuwscA1Y_43,1,1,1,1,0,2
ofnnuwscA1Y_45,1,0,-2,1,0,2
ofnnuwscA1Y_47,-1,-1,-2,0,0,1
ofnnuwscA1Y_49,-1,-1,-2,-1,-1,1
ofnnuwscA1Y_51,1,1,1,1,1,2
ofnnuwscA1Y_53,-1,-1,-2,1,0,1
ofnnuwscA1Y_55,1,1,1,1,0,2
ofnnuwscA1Y_57,-1,-1,-2,1,0,1
ofnnuwscA1Y_59,-1,-1,-2,0,-1,1
ofnnuwscA1Y_61,-1,-1,-2,0,-1,1
ofnnuwscA1Y_63,1,0,1,1,0,2
ofnnuwscA1Y_65,0,0,-2,0,0,2
ofnnuwscA1Y_67,-1,-1,-2,-1,0,1
ofnnuwscA1Y_69,-1,-1,-2,0,0,1
iBp75KNuLb8_1,-1,-1,-2,-1,-1,1
iBp75KNuLb8_3,0,0,-2,0,0,2
iBp75KNuLb8_5,0,0,-2,0,0,2
iBp75KNuLb8_7,-1,-1,-2,0,0,1
iBp75KNuLb8_9,1,1,1,1,1,2
iBp75KNuLb8_11,-1,-1,-2,0,0,1
iBp75KNuLb8_13,1,1,1,1,1,2
iBp75KNuLb8_15,0,0,-2,0,0,2
iBp75KNuLb8_17,0,0,-2,0,0,2
iBp75KNuLb8_19,1,1,1,1,1,2
iBp75KNuLb8_21,2,1,-2,1,1,2
iBp75KNuLb8_23,-1,-1,-2,-1,-1,1
iBp75KNuLb8_25,1,0,1,1,0,2
iBp75KNuLb8_27,1,1,1,1,1,2
iBp75KNuLb8_29,0,0,-2,0,0,2
iBp75KNuLb8_31,1,0,1,1,0,2
iBp75KNuLb8_33,1,1,1,1,0,2
iBp75KNuLb8_35,1,0,0,1,0,2
iBp75KNuLb8_37,1,1,1,1,0,2
iBp75KNuLb8_39,-1,-1,-2,-1,0,1
iBp75KNuLb8_41,1,0,-2,1,0,2
iBp75KNuLb8_43,0,0,-2,0,0,2
iBp75KNuLb8_45,-1,0,-2,1,0,2
iBp75KNuLb8_47,1,1,1,1,1,2
iBp75KNuLb8_49,-1,0,-2,1,0,2
iBp75KNuLb8_51,-1,-1,-2,-1,-1,-1
iBp75KNuLb8_53,1,1,1,1,0,2
iBp75KNuLb8_55,-1,-1,-2,-1,-1,1
iBp75KNuLb8_57,-1,-1,-2,-1,-1,1
iBp75KNuLb8_59,-1,-1,-2,-1,-1,1
iBp75KNuLb8_61,1,0,-2,1,0,2
iBp75KNuLb8_63,1,1,1,1,1,2
iBp75KNuLb8_65,-1,0,-2,0,0,1
iBp75KNuLb8_67,0,0,-2,0,0,2
iBp75KNuLb8_69,-1,-1,-2,-1,-1,1
iBp75KNuLb8_71,-1,-1,-2,-1,-1,-1
iBp75KNuLb8_73,-1,-1,-2,-1,-1,1
o2Cv6Mlp3KY_2,-1,-1,-2,0,0,1
o2Cv6Mlp3KY_4,1,1,1,1,1,2
o2Cv6Mlp3KY_5,1,1,1,1,0,2
o2Cv6Mlp3KY_7,1,1,1,1,1,2
o2Cv6Mlp3KY_9,-1,-1,-2,0,0,1
o2Cv6Mlp3KY_11,-1,-1,-2,-1,-1,1
o2Cv6Mlp3KY_13,1,1,1,1,0,2
o2Cv6Mlp3KY_15,0,0,-2,0,0,2
o2Cv6Mlp3KY_17,1,1,1,1,0,2
o2Cv6Mlp3KY_19,1,0,-2,1,0,2
o2Cv6Mlp3KY_21,1,1,1,1,1,2
o2Cv6Mlp3KY_23,-1,-1,-2,0,0,1
jlXmVqhaMds_1,0,0,-2,0,0,2
jlXmVqhaMds_3,0,0,-2,0,0,2
jlXmVqhaMds_5,0,0,0,0,0,2
jlXmVqhaMds_7,1,1,1,1,0,2
jlXmVqhaMds_9,1,1,1,1,0,2
jlXmVqhaMds_11,0,0,0,0,0,2
jlXmVqhaMds_13,1,1,1,1,1,2
jlXmVqhaMds_15,1,0,1,1,0,2
jlXmVqhaMds_17,1,0,1,1,0,2
jlXmVqhaMds_19,1,0,-2,1,0,2
jlXmVqhaMds_21,1,1,1,1,0,2
jlXmVqhaMds_23,1,1,1,1,0,2
jlXmVqhaMds_25,1,1,1,1,0,2
jlXmVqhaMds_27,-1,-1,-2,-1,-1,1
jlXmVqhaMds_29,1,1,1,1,0,2
jlXmVqhaMds_31,-1,-1,-2,0,0,1
jlXmVqhaMds_33,1,1,1,1,1,2
jlXmVqhaMds_35,-1,0,-2,1,0,2
jlXmVqhaMds_37,1,1,1,1,0,2
jlXmVqhaMds_39,-1,-1,-2,-1,-1,1
jlXmVqhaMds_41,0,0,-2,0,0,2
jlXmVqhaMds_43,1,0,-2,1,0,2
jlXmVqhaMds_45,1,0,0,1,0,2
jlXmVqhaMds_47,1,1,1,1,0,2
jlXmVqhaMds_49,1,1,1,1,0,2
jlXmVqhaMds_51,-1,-1,-2,1,0,1
jlXmVqhaMds_53,1,0,0,1,0,2
jlXmVqhaMds_56,-1,-1,-2,1,0,1
jlXmVqhaMds_58,-1,-1,-2,-1,-1,1
jlXmVqhaMds_60,-1,0,-2,1,0,2
jlXmVqhaMds_62,-1,0,-2,0,0,2
jlXmVqhaMds_64,1,1,1,1,1,2
jlXmVqhaMds_66,1,1,1,1,0,2
jlXmVqhaMds_68,1,0,0,1,0,2
jlXmVqhaMds_70,-1,1,-2,1,0,2
jlXmVqhaMds_72,1,1,1,1,0,2
jlXmVqhaMds_74,-1,-1,-2,0,-1,1
jlXmVqhaMds_76,1,1,1,1,1,2
jlXmVqhaMds_78,1,0,-2,1,0,2
jlXmVqhaMds_80,1,1,1,1,1,2
jlXmVqhaMds_82,1,0,1,1,0,2
jlXmVqhaMds_84,-1,0,-2,1,0,2
jlXmVqhaMds_86,1,1,1,1,0,2
jlXmVqhaMds_88,1,1,1,1,1,2
jlXmVqhaMds_90,1,1,1,1,0,2
jlXmVqhaMds_92,1,1,1,1,1,2
jlXmVqhaMds_94,1,1,0,1,0,2
jlXmVqhaMds_96,1,0,1,1,0,2
jlXmVqhaMds_98,-1,-1,-2,-1,-1,1
jlXmVqhaMds_100,-1,-1,-2,1,0,1
jlXmVqhaMds_102,-1,-1,-2,0,0,1
jlXmVqhaMds_104,1,1,1,1,0,2
jlXmVqhaMds_106,1,0,1,1,0,2
jlXmVqhaMds_108,1,1,1,1,0,2
jlXmVqhaMds_110,-1,0,-2,1,0,2
jlXmVqhaMds_112,-1,-1,-2,0,-1,1
jlXmVqhaMds_114,1,1,1,1,1,2
jlXmVqhaMds_116,1,1,1,1,1,2
jlXmVqhaMds_118,1,1,1,1,1,2
jlXmVqhaMds_120,-1,0,-2,1,0,2
jlXmVqhaMds_122,1,1,1,1,0,2
jlXmVqhaMds_124,1,0,-2,1,0,2
jlXmVqhaMds_126,1,1,1,1,0,2
jlXmVqhaMds_128,1,0,-2,1,0,2
jlXmVqhaMds_130,1,1,1,1,0,2
jlXmVqhaMds_132,-1,-1,-2,-1,-1,1
jlXmVqhaMds_134,1,1,1,1,0,2
jlXmVqhaMds_136,1,0,1,1,0,2
jlXmVqhaMds_137,1,1,1,1,0,2
jlXmVqhaMds_139,0,0,-2,0,0,2
jlXmVqhaMds_141,-1,0,-2,0,0,1
jlXmVqhaMds_143,1,1,1,1,0,2
jlXmVqhaMds_145,1,1,1,1,1,2
jlXmVqhaMds_147,1,1,1,1,1,2
jlXmVqhaMds_149,1,1,1,1,0,2
jlXmVqhaMds_151,0,0,-2,0,0,2
jlXmVqhaMds_153,-1,0,-2,0,0,1
ZSDJymlMOxg_1,1,1,1,1,0,2
ZSDJymlMOxg_3,-1,-1,-2,0,0,2
ZSDJymlMOxg_5,0,0,-2,0,0,2
ZSDJymlMOxg_7,-1,-1,-2,0,0,1
ZSDJymlMOxg_9,-1,-1,-2,0,0,1
ZSDJymlMOxg_11,1,0,-2,1,0,2
ZSDJymlMOxg_13,1,0,0,1,0,2
ZSDJymlMOxg_15,1,1,1,1,0,2
ZSDJymlMOxg_17,1,1,1,1,0,2
ZSDJymlMOxg_20,1,1,1,1,0,2
ZSDJymlMOxg_22,-1,0,-2,0,0,2
ZSDJymlMOxg_24,-1,-1,-2,-1,-1,1
ZSDJymlMOxg_26,-1,-1,-2,-1,-1,1
ZSDJymlMOxg_28,1,0,0,1,0,2
ZSDJymlMOxg_30,-1,-1,-2,0,0,1
ZSDJymlMOxg_32,0,0,-2,1,0,2
ZSDJymlMOxg_34,-1,-1,-2,-1,-1,1
ZSDJymlMOxg_36,-1,-1,-2,-1,-1,1
ZSDJymlMOxg_38,-1,-1,-2,-1,-1,1
ZSDJymlMOxg_40,-1,-1,-2,-1,-1,1
ZSDJymlMOxg_41,-1,0,-2,1,0,2
ZSDJymlMOxg_42,0,0,-2,1,0,2
ZSDJymlMOxg_44,-1,0,-2,0,0,2
ZSDJymlMOxg_45,1,1,1,1,0,2
ZSDJymlMOxg_47,1,0,1,1,0,2
ZSDJymlMOxg_48,0,0,-2,1,0,2
ZSDJymlMOxg_50,-1,-1,-2,0,0,1
ZSDJymlMOxg_51,-1,-1,-2,0,0,1
ZSDJymlMOxg_52,-1,0,-2,0,0,1
ZSDJymlMOxg_54,0,0,-2,0,0,2
dbqFCbXxwb0_1,0,0,-2,0,0,2
dbqFCbXxwb0_3,-1,-1,-2,-1,-1,-1
dbqFCbXxwb0_5,0,0,-2,0,0,2
dbqFCbXxwb0_7,1,1,1,1,0,2
dbqFCbXxwb0_9,1,1,1,1,1,2
dbqFCbXxwb0_11,1,0,0,1,0,2
dbqFCbXxwb0_13,1,0,1,1,0,2
dbqFCbXxwb0_15,-1,-1,-2,1,0,1
dbqFCbXxwb0_17,1,1,1,1,0,2
dbqFCbXxwb0_19,1,1,1,1,0,2
dbqFCbXxwb0_21,1,0,0,1,0,2
dbqFCbXxwb0_23,1,1,1,1,0,2
dbqFCbXxwb0_25,0,0,0,1,0,2
dbqFCbXxwb0_27,1,0,0,1,0,2
dbqFCbXxwb0_29,1,0,-2,1,0,2
dbqFCbXxwb0_31,1,1,1,1,0,2
dbqFCbXxwb0_33,-1,-1,-2,0,0,1
dbqFCbXxwb0_35,-1,-1,-2,0,0,1
dbqFCbXxwb0_37,-1,-1,-2,-1,-1,1
dbqFCbXxwb0_39,-1,-1,-2,-1,-1,1
SNstOn6owcI_1,1,1,1,1,0,2
SNstOn6owcI_3,1,0,1,1,0,2
SNstOn6owcI_5,1,1,1,1,1,2
SNstOn6owcI_7,0,0,-2,1,0,2
SNstOn6owcI_8,1,0,0,1,0,2
SNstOn6owcI_10,1,1,1,1,1,2
SNstOn6owcI_12,0,0,-2,0,0,2
SNstOn6owcI_14,1,0,0,1,0,2
SNstOn6owcI_16,1,1,1,1,0,2
SNstOn6owcI_18,1,1,1,1,0,2
SNstOn6owcI_20,0,0,-2,0,0,2
SNstOn6owcI_22,1,1,1,1,0,2
SNstOn6owcI_24,1,0,-2,1,0,2
SNstOn6owcI_26,1,0,1,1,0,2
SNstOn6owcI_28,1,0,1,1,0,2
SNstOn6owcI_30,1,1,1,1,1,2
SNstOn6owcI_32,1,1,1,1,1,2
SNstOn6owcI_34,-1,-1,-2,0,-1,1
SNstOn6owcI_36,1,0,1,1,0,2
SNstOn6owcI_38,1,1,1,1,1,2
SNstOn6owcI_40,1,1,1,1,0,2
SNstOn6owcI_42,1,1,1,1,1,2
SNstOn6owcI_44,1,0,1,1,0,2
SNstOn6owcI_46,-1,-1,-2,1,0,2
SNstOn6owcI_48,1,0,0,1,0,2
SNstOn6owcI_50,1,1,1,1,1,2
SNstOn6owcI_52,1,1,1,1,0,2
SNstOn6owcI_54,1,1,1,1,1,2
SNstOn6owcI_56,1,1,1,1,1,2
SNstOn6owcI_58,1,1,1,1,1,2
SNstOn6owcI_60,1,1,1,1,0,2
SNstOn6owcI_62,1,1,1,1,1,2
