Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"So, today's the day.",T,dNfM2ihfSSE_2,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,Hi Carly. How are you doing today?
"Let's slow it down so we can catch it. We agreed to look for Mr. Anxiety, and it looks like he's here. Does this feel like familiar territory to you?",T,dNfM2ihfSSE_4,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: So, today's the day.
Patient: Yeah, but I'm not really feeling it. I haven't been able to stop thinking about it all week, my chest is tight, and I almost didn't come. I'm afraid I'll lose it once I walk inside the mall.",You're afraid you'll lose it? Have you ever lost it before?
"It's big time and very familiar. How old would you say these urgent, racing thoughts are? One leads to another, saying this is going to happen, then that. Are you with me?",T,dNfM2ihfSSE_6,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So, today's the day.
Patient: Yeah, but I'm not really feeling it. I haven't been able to stop thinking about it all week, my chest is tight, and I almost didn't come. I'm afraid I'll lose it once I walk inside the mall.
Therapist: Let's slow it down so we can catch it. We agreed to look for Mr. Anxiety, and it looks like he's here. Does this feel like familiar territory to you?
Patient: Yeah, it happens to me all the time. That's why I came here.","You're feeling familiar, but you're also feeling scared and almost like you're going to lose it. How does that feel?"
"How old is that specific process, even if the exact words are different?",T,dNfM2ihfSSE_8,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: So, today's the day.
Patient: Yeah, but I'm not really feeling it. I haven't been able to stop thinking about it all week, my chest is tight, and I almost didn't come. I'm afraid I'll lose it once I walk inside the mall.
Therapist: Let's slow it down so we can catch it. We agreed to look for Mr. Anxiety, and it looks like he's here. Does this feel like familiar territory to you?
Patient: Yeah, it happens to me all the time. That's why I came here.
Therapist: It's big time and very familiar. How old would you say these urgent, racing thoughts are? One leads to another, saying this is going to happen, then that. Are you with me?
Patient: Mhm, I see what you're saying.","Okay, so you have a lot of racing thoughts. How old are those?"
So this has a long history. Is it fair to say you've been turning your life over to that process? We're working to create a space where something different can happen.,T,dNfM2ihfSSE_10,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Let's slow it down so we can catch it. We agreed to look for Mr. Anxiety, and it looks like he's here. Does this feel like familiar territory to you?
Patient: Yeah, it happens to me all the time. That's why I came here.
Therapist: It's big time and very familiar. How old would you say these urgent, racing thoughts are? One leads to another, saying this is going to happen, then that. Are you with me?
Patient: Mhm, I see what you're saying.
Therapist: How old is that specific process, even if the exact words are different?
Patient: It's happened since I was a kid. Before I was a teenager, my parents would try to take me to a mall or a street fair and I'd be a wreck in the car on the way there.",So you were having panic attacks in the car before you were a teenager? That's really early. How old were you when you first had a panic attack?
"We're right at the point where the action happens. You aren't in the situation yet, but we're where the thoughts are being conceived. Can we slow down and just watch it? I want to do something odd to show how the mind works. I have a pen here that says something: 'woo.'",T,dNfM2ihfSSE_12,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: It's big time and very familiar. How old would you say these urgent, racing thoughts are? One leads to another, saying this is going to happen, then that. Are you with me?
Patient: Mhm, I see what you're saying.
Therapist: How old is that specific process, even if the exact words are different?
Patient: It's happened since I was a kid. Before I was a teenager, my parents would try to take me to a mall or a street fair and I'd be a wreck in the car on the way there.
Therapist: So this has a long history. Is it fair to say you've been turning your life over to that process? We're working to create a space where something different can happen.
Patient: That's what I hope for. I've missed out on a lot because I can't keep it together enough to go where other people go.",You've missed out on a lot because of that. How about if you try to create a little space where you can try something different?
"If I ask you what this says next week, or next month, or even next year, what would you say?",T,dNfM2ihfSSE_14,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: How old is that specific process, even if the exact words are different?
Patient: It's happened since I was a kid. Before I was a teenager, my parents would try to take me to a mall or a street fair and I'd be a wreck in the car on the way there.
Therapist: So this has a long history. Is it fair to say you've been turning your life over to that process? We're working to create a space where something different can happen.
Patient: That's what I hope for. I've missed out on a lot because I can't keep it together enough to go where other people go.
Therapist: We're right at the point where the action happens. You aren't in the situation yet, but we're where the thoughts are being conceived. Can we slow down and just watch it? I want to do something odd to show how the mind works. I have a pen here that says something: 'woo.'
Patient: Yes, you do. It says woo.",It says woo. I'm going to put the pen down and see what happens when I do that.
"Exactly. Letting that thought run your life is what brought you here. Notice how old this thought is and the cost it's produced. This pen says 'woo,' and your mind says if you go to the mall, you're going to...",T,dNfM2ihfSSE_16,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: So this has a long history. Is it fair to say you've been turning your life over to that process? We're working to create a space where something different can happen.
Patient: That's what I hope for. I've missed out on a lot because I can't keep it together enough to go where other people go.
Therapist: We're right at the point where the action happens. You aren't in the situation yet, but we're where the thoughts are being conceived. Can we slow down and just watch it? I want to do something odd to show how the mind works. I have a pen here that says something: 'woo.'
Patient: Yes, you do. It says woo.
Therapist: If I ask you what this says next week, or next month, or even next year, what would you say?
Patient: I'd still say it says 'woo.' I see what you're saying. I've been thinking for years that I'll lose it in a crowd, and here it's happening again.","You've been thinking for years that you'll lose it in a crowd, and here it's happening again. I'm glad you're still saying it says 'woo.' I'm going to ask you to say it again next time I see you."
Your mind is just doing what minds do. Is it really your enemy?,T,dNfM2ihfSSE_18,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: We're right at the point where the action happens. You aren't in the situation yet, but we're where the thoughts are being conceived. Can we slow down and just watch it? I want to do something odd to show how the mind works. I have a pen here that says something: 'woo.'
Patient: Yes, you do. It says woo.
Therapist: If I ask you what this says next week, or next month, or even next year, what would you say?
Patient: I'd still say it says 'woo.' I see what you're saying. I've been thinking for years that I'll lose it in a crowd, and here it's happening again.
Therapist: Exactly. Letting that thought run your life is what brought you here. Notice how old this thought is and the cost it's produced. This pen says 'woo,' and your mind says if you go to the mall, you're going to...
Patient: Lose it.","Lose it. That's a terrible thought. It's old, it's painful, and it's causing you to avoid the mall. Notice that."
"As we prepare for this session, I want you to watch your mind as it constructs these scary futures. Notice them like you would carry something fragile. It's not your boss, just your mind doing its thing. Are you willing to try that?",T,dNfM2ihfSSE_20,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: If I ask you what this says next week, or next month, or even next year, what would you say?
Patient: I'd still say it says 'woo.' I see what you're saying. I've been thinking for years that I'll lose it in a crowd, and here it's happening again.
Therapist: Exactly. Letting that thought run your life is what brought you here. Notice how old this thought is and the cost it's produced. This pen says 'woo,' and your mind says if you go to the mall, you're going to...
Patient: Lose it.
Therapist: Your mind is just doing what minds do. Is it really your enemy?
Patient: No, I guess that's just what happens. If I can learn a pen says 'woo' in two seconds, I've had a lifetime of this other thought.",Exactly. You've had a lifetime of losing it in a crowd. That's the real story. Notice how powerful that is.
"Good catch. Let's do the same thing with that thought too. That segment was ACT consistent, using techniques to create separation between the person and their mind. Now let's look at an inconsistent example.",T,dNfM2ihfSSE_22,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Exactly. Letting that thought run your life is what brought you here. Notice how old this thought is and the cost it's produced. This pen says 'woo,' and your mind says if you go to the mall, you're going to...
Patient: Lose it.
Therapist: Your mind is just doing what minds do. Is it really your enemy?
Patient: No, I guess that's just what happens. If I can learn a pen says 'woo' in two seconds, I've had a lifetime of this other thought.
Therapist: As we prepare for this session, I want you to watch your mind as it constructs these scary futures. Notice them like you would carry something fragile. It's not your boss, just your mind doing its thing. Are you willing to try that?
Patient: Yeah, I can try. I can feel my mind kicking in now, telling me I'm going to fall apart.","Notice that feeling. It's just a feeling, not necessarily a fact. Can you try to watch it like a curious observer?"
"So, today is the day. Ready for Mr. Anxiety?",T,dNfM2ihfSSE_23,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Patient: Lose it.
Therapist: Your mind is just doing what minds do. Is it really your enemy?
Patient: No, I guess that's just what happens. If I can learn a pen says 'woo' in two seconds, I've had a lifetime of this other thought.
Therapist: As we prepare for this session, I want you to watch your mind as it constructs these scary futures. Notice them like you would carry something fragile. It's not your boss, just your mind doing its thing. Are you willing to try that?
Patient: Yeah, I can try. I can feel my mind kicking in now, telling me I'm going to fall apart.
Therapist: Good catch. Let's do the same thing with that thought too. That segment was ACT consistent, using techniques to create separation between the person and their mind. Now let's look at an inconsistent example.",I'm going to show you a thought that's not useful for managing anxiety. Write it down.
"It's not surprising you're thinking this since it's an old thought. But in all the years you've had these thoughts, have you ever actually lost it?",T,dNfM2ihfSSE_25,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Patient: No, I guess that's just what happens. If I can learn a pen says 'woo' in two seconds, I've had a lifetime of this other thought.
Therapist: As we prepare for this session, I want you to watch your mind as it constructs these scary futures. Notice them like you would carry something fragile. It's not your boss, just your mind doing its thing. Are you willing to try that?
Patient: Yeah, I can try. I can feel my mind kicking in now, telling me I'm going to fall apart.
Therapist: Good catch. Let's do the same thing with that thought too. That segment was ACT consistent, using techniques to create separation between the person and their mind. Now let's look at an inconsistent example.
Therapist: So, today is the day. Ready for Mr. Anxiety?
Patient: I'm not sure I can do it. I've been petrified since last week. My chest is tight and I'm sweating. I'm afraid I'll pass out or go crazy in the crowds. It's just too much.","You're feeling scared, with a tight chest and sweating. You're afraid of having a panic attack in a crowd. That seems really tough."
"So it's just a thought, not a fact. Let's try something silly to look at it differently. Give me a cartoon character you like.",T,dNfM2ihfSSE_27,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Patient: Yeah, I can try. I can feel my mind kicking in now, telling me I'm going to fall apart.
Therapist: Good catch. Let's do the same thing with that thought too. That segment was ACT consistent, using techniques to create separation between the person and their mind. Now let's look at an inconsistent example.
Therapist: So, today is the day. Ready for Mr. Anxiety?
Patient: I'm not sure I can do it. I've been petrified since last week. My chest is tight and I'm sweating. I'm afraid I'll pass out or go crazy in the crowds. It's just too much.
Therapist: It's not surprising you're thinking this since it's an old thought. But in all the years you've had these thoughts, have you ever actually lost it?
Patient: No, but I haven't really tested it much either. It sure feels like it's going to happen.","Well, if you think about it, if you actually lost it, what would that mean?"
Imagine those scary thoughts in a Donald Duck voice. Mentally hear him saying it's going to be bad and terrible. Doesn't that make the thoughts seem ridiculous?,T,dNfM2ihfSSE_29,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So, today is the day. Ready for Mr. Anxiety?
Patient: I'm not sure I can do it. I've been petrified since last week. My chest is tight and I'm sweating. I'm afraid I'll pass out or go crazy in the crowds. It's just too much.
Therapist: It's not surprising you're thinking this since it's an old thought. But in all the years you've had these thoughts, have you ever actually lost it?
Patient: No, but I haven't really tested it much either. It sure feels like it's going to happen.
Therapist: So it's just a thought, not a fact. Let's try something silly to look at it differently. Give me a cartoon character you like.
Patient: Donald Duck.","Okay, let's try Donald Duck. What would he think if he lost it in a crowd?"
"Hang on to that when the anxiety hits to remember these things aren't necessarily true. That segment was inconsistent because it focused on ridiculing the thoughts to make them go away, rather than just noticing them. Now we'll see a student struggling with career choices.",T,dNfM2ihfSSE_31,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: It's not surprising you're thinking this since it's an old thought. But in all the years you've had these thoughts, have you ever actually lost it?
Patient: No, but I haven't really tested it much either. It sure feels like it's going to happen.
Therapist: So it's just a thought, not a fact. Let's try something silly to look at it differently. Give me a cartoon character you like.
Patient: Donald Duck.
Therapist: Imagine those scary thoughts in a Donald Duck voice. Mentally hear him saying it's going to be bad and terrible. Doesn't that make the thoughts seem ridiculous?
Patient: Yeah, they are pretty silly thoughts. I guess I'd say I'm going to hyperventilate and lose it. It does make it feel a bit different.","It does feel different now, doesn't it? Try to hear the thought in a Donald Duck voice."
What's inside this decision for you?,T,dNfM2ihfSSE_32,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Patient: No, but I haven't really tested it much either. It sure feels like it's going to happen.
Therapist: So it's just a thought, not a fact. Let's try something silly to look at it differently. Give me a cartoon character you like.
Patient: Donald Duck.
Therapist: Imagine those scary thoughts in a Donald Duck voice. Mentally hear him saying it's going to be bad and terrible. Doesn't that make the thoughts seem ridiculous?
Patient: Yeah, they are pretty silly thoughts. I guess I'd say I'm going to hyperventilate and lose it. It does make it feel a bit different.
Therapist: Hang on to that when the anxiety hits to remember these things aren't necessarily true. That segment was inconsistent because it focused on ridiculing the thoughts to make them go away, rather than just noticing them. Now we'll see a student struggling with career choices.",Hi Carly. How are you doing today?
What are the two major alternatives you're weighing?,T,dNfM2ihfSSE_34,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,"Patient: Donald Duck.
Therapist: Imagine those scary thoughts in a Donald Duck voice. Mentally hear him saying it's going to be bad and terrible. Doesn't that make the thoughts seem ridiculous?
Patient: Yeah, they are pretty silly thoughts. I guess I'd say I'm going to hyperventilate and lose it. It does make it feel a bit different.
Therapist: Hang on to that when the anxiety hits to remember these things aren't necessarily true. That segment was inconsistent because it focused on ridiculing the thoughts to make them go away, rather than just noticing them. Now we'll see a student struggling with career choices.
Therapist: What's inside this decision for you?
Patient: I'm nervous because I have one semester left and I'm not sure I'm on the right path. My parents and teachers all want different things, and I feel pulled in six different directions.",You feel like you're being pulled in six directions. What's inside that for you?
It seems like you think choosing one means losing the other. Is that really true? Maybe you just need to follow your heart and make a choice. Just do it.,T,dNfM2ihfSSE_36,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,"Patient: Yeah, they are pretty silly thoughts. I guess I'd say I'm going to hyperventilate and lose it. It does make it feel a bit different.
Therapist: Hang on to that when the anxiety hits to remember these things aren't necessarily true. That segment was inconsistent because it focused on ridiculing the thoughts to make them go away, rather than just noticing them. Now we'll see a student struggling with career choices.
Therapist: What's inside this decision for you?
Patient: I'm nervous because I have one semester left and I'm not sure I'm on the right path. My parents and teachers all want different things, and I feel pulled in six different directions.
Therapist: What are the two major alternatives you're weighing?
Patient: Choosing family and friends versus focusing on career success and making money. I always feel like I'm failing.",You feel like you're failing. What does that mean to you?
That was a 'normal' interaction but inconsistent with ACT because we focused on the content of the problem rather than the process. Now let's see a more consistent approach with the same client.,T,dNfM2ihfSSE_38,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,"Therapist: What's inside this decision for you?
Patient: I'm nervous because I have one semester left and I'm not sure I'm on the right path. My parents and teachers all want different things, and I feel pulled in six different directions.
Therapist: What are the two major alternatives you're weighing?
Patient: Choosing family and friends versus focusing on career success and making money. I always feel like I'm failing.
Therapist: It seems like you think choosing one means losing the other. Is that really true? Maybe you just need to follow your heart and make a choice. Just do it.
Patient: I feel like I am doing it, but I'm not going anywhere. I'm trying to cover all the bases.","You're trying to cover all the bases, but you're not going anywhere. Maybe you just need to make a choice and see where that takes you."
"What's inside this choice? It feels like your thoughts are very close, almost blinding. Is that a familiar place for you?",T,dNfM2ihfSSE_39,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,"Patient: I'm nervous because I have one semester left and I'm not sure I'm on the right path. My parents and teachers all want different things, and I feel pulled in six different directions.
Therapist: What are the two major alternatives you're weighing?
Patient: Choosing family and friends versus focusing on career success and making money. I always feel like I'm failing.
Therapist: It seems like you think choosing one means losing the other. Is that really true? Maybe you just need to follow your heart and make a choice. Just do it.
Patient: I feel like I am doing it, but I'm not going anywhere. I'm trying to cover all the bases.
Therapist: That was a 'normal' interaction but inconsistent with ACT because we focused on the content of the problem rather than the process. Now let's see a more consistent approach with the same client.",Hi Carly. How are you doing today?
"Your mind is trying to help, but it's doing something very familiar. Let's notice what the mind is doing and what's showing up in your body. Every time you make a decision, your mind says you're leaving something behind, right?",T,dNfM2ihfSSE_41,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Patient: Choosing family and friends versus focusing on career success and making money. I always feel like I'm failing.
Therapist: It seems like you think choosing one means losing the other. Is that really true? Maybe you just need to follow your heart and make a choice. Just do it.
Patient: I feel like I am doing it, but I'm not going anywhere. I'm trying to cover all the bases.
Therapist: That was a 'normal' interaction but inconsistent with ACT because we focused on the content of the problem rather than the process. Now let's see a more consistent approach with the same client.
Therapist: What's inside this choice? It feels like your thoughts are very close, almost blinding. Is that a familiar place for you?
Patient: Yeah, definitely. It's a very worried space.",Very worried. What's the worry?
It is scary when you open some doors and close others. Can you open up to that scariness rather than trying to fix it? You're not doing anything wrong; it's just part of the process.,T,dNfM2ihfSSE_43,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,"Patient: I feel like I am doing it, but I'm not going anywhere. I'm trying to cover all the bases.
Therapist: That was a 'normal' interaction but inconsistent with ACT because we focused on the content of the problem rather than the process. Now let's see a more consistent approach with the same client.
Therapist: What's inside this choice? It feels like your thoughts are very close, almost blinding. Is that a familiar place for you?
Patient: Yeah, definitely. It's a very worried space.
Therapist: Your mind is trying to help, but it's doing something very familiar. Let's notice what the mind is doing and what's showing up in your body. Every time you make a decision, your mind says you're leaving something behind, right?
Patient: It's scary to not know, but I guess I don't have control over that.","You don't have control over the fear, but you do have control over your response. Let's look at what's showing up in your body when you're in that space."
"In this section, we caught the 'mindy' process that pulls people into obsessive problem-solving and created some separation to allow for a more flexible way to explore life's choices.",T,dNfM2ihfSSE_45,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: What's inside this choice? It feels like your thoughts are very close, almost blinding. Is that a familiar place for you?
Patient: Yeah, definitely. It's a very worried space.
Therapist: Your mind is trying to help, but it's doing something very familiar. Let's notice what the mind is doing and what's showing up in your body. Every time you make a decision, your mind says you're leaving something behind, right?
Patient: It's scary to not know, but I guess I don't have control over that.
Therapist: It is scary when you open some doors and close others. Can you open up to that scariness rather than trying to fix it? You're not doing anything wrong; it's just part of the process.
Patient: Right.",You're not doing anything wrong. It's just part of the process.
