Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"I don't know, like it's uncomfortable because it sucks. This therapy is just, like, I'm not getting anywhere. It's just not doing anything. It's uncomfortable talking about it because it's just like, I don't know.",P,nblFvpbetoE_1,,,,,,
"My sense is that you were trying to say something and then you just kind of, almost like you gave up there.",T,nblFvpbetoE_2,1.0,1.0,1.0,1.0,1.0,2.0
"Well, I'm trying to talk about it. I don't know what else you want me to do. I told you that I'm not feeling like I'm getting something out of the therapy. I feel like I'm being pretty clear, but I guess I'm not.",P,nblFvpbetoE_3,,,,,,
Are you feeling angry at me?,T,nblFvpbetoE_4,0.0,0.0,0.0,1.0,1.0,2.0
"I mean, I'm feeling angry that the therapy isn't working, like I've been saying. I'm feeling angry that I'm still in the place that I'm in even though I've been trying. I'm just feeling pissed in general, you know.",P,nblFvpbetoE_5,,,,,,
"Right. So I understand that you're pissed in general, but are you angry at me? It sounds to me, my sense is that you're feeling angry at me right now and if you are, I really want to know about it.",T,nblFvpbetoE_6,1.0,1.0,1.0,1.0,1.0,2.0
"Well, I guess there is a part of me that's a little angry that you're not helping me. I came to therapy because I wanted to feel better, and I guess I am feeling angry that that's not what I'm getting from you even though that's what I'm trying to get.",P,nblFvpbetoE_7,,,,,,
You're sounding really exasperated to me. How does it feel to tell me about this?,T,nblFvpbetoE_8,0.0,0.0,0.0,1.0,1.0,2.0
"It feels hard. It feels hard to say that I'm angry because it's not a comfortable thing to say or a comfortable thing to feel. It just makes me feel like, yeah.",P,nblFvpbetoE_9,,,,,,
"Okay. So I don't want to push you too hard, but can you say anymore about what's uncomfortable about this? I do understand that it's uncomfortable.",T,nblFvpbetoE_10,1.0,1.0,1.0,1.0,1.0,2.0
"It's not something I would ordinarily say to someone that I'm angry at them, so it feels like I feel kind of anxious now even saying it. I don't want you to think it's your fault. It feels like something I'm really not supposed to say.",P,nblFvpbetoE_11,,,,,,
So part of it sounds like you're concerned that I'm going to feel like you're blaming me.,T,nblFvpbetoE_12,0.0,0.0,1.0,1.0,1.0,2.0
"I mean, yeah, I guess. I don't want to do that. But it is hard to feel like I'm alone in this therapy. I've been coming here and trying and I'm just not getting anything from you.",P,nblFvpbetoE_13,,,,,,
"Okay, so that sounds really important. It sounds like you're feeling angry at me, maybe you're feeling disappointed, and you're feeling all alone and like you can't even really talk with me about this.",T,nblFvpbetoE_14,2.0,2.0,1.0,2.0,2.0,2.0
"Yeah, it feels really hard. I want to be able to.",P,nblFvpbetoE_15,,,,,,
Okay. All right. I'm really glad that we're talking about this and you're able to tell me more about how you're feeling about talking about it and my response right now.,T,nblFvpbetoE_16,1.0,1.0,1.0,1.0,1.0,2.0
"I'm still feeling a little anxious but I think it feels better that it's out there, I guess, that I've said it and I think maybe that helps a little.",P,nblFvpbetoE_17,,,,,,
"Okay, so at least it's out there, right? Okay, so maybe we can go from here.",T,nblFvpbetoE_18,0.0,0.0,0.0,1.0,0.0,1.0
