Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"So let me tell you what I normally do in this interview. We will talk for up to maybe 20 minutes or so. Normally, what I do is just give some feedback from all of those questionnaires that you answered last week and then we just talk together about that. But I always like to just start with wherever you would like to start as well. I am setting the focus and agenda, but also providing flexibility for Sarah. By letting her decide where to begin, I reinforce her autonomy and ability to self-reflect. I demonstrate that I am partnering with her.",T,EvLquWI8aqc_1,2,1,2,2,1,2
"Yeah, I mean when I was doing those questionnaires, it was weird because I don't really think about drinking being this huge deal, and I don't ever really think about how much I drink. Filling out how much I'm drinking every day was like, whoa, you know? I just didn't ever really think about it like that. If I try to actually count the drinks, it's kind of a lot.",P,EvLquWI8aqc_2,,,,,,
You were pretty shocked at what you learned about your patterns. I use a complex reflection to emphasize Sarah's beginning awareness. Complex reflections pick up on the emotional impact for the client and deepen the client's own self-reflection. Change comes when we begin to recognize that our current behavior is discrepant with how we see ourselves.,T,EvLquWI8aqc_3,2,1,1,2,2,2
"Well yeah, because I also kind of thought that I drank about as much as my friends did. Then I was talking to my roommate and telling her that I was drinking like 10 drinks on the weekends, including Thursday. And then she was like, 'Sarah, that is crazy, why are you drinking this?' And I guess my friends didn't know. Anyway, yeah, I don't know.",P,EvLquWI8aqc_4,,,,,,
"Yeah, this information has opened your eyes in some ways, and as you talk to your roommate about it, she was even shocked to know that you were drinking as much as you realized when you did the questionnaire.",T,EvLquWI8aqc_5,2,1,1,2,1,2
"Yeah, and I guess it was just like I thought that everybody was doing it, but that's not really what was going on.",P,EvLquWI8aqc_6,,,,,,
"Yeah, the fact that you're drinking stands out from others is clearly not something you had ever really taken into consideration before. Thus far, I am very careful about using the conversational style of following, focusing on demonstrating my understanding of Sarah's situation and allowing her to continue to talk. The reflections I have done have reinforced Sarah's alarm about her drinking.",T,EvLquWI8aqc_7,2,1,1,2,1,2
"Yeah, yeah. So that was the thing that was really the most weird about doing those forms.",P,EvLquWI8aqc_8,,,,,,
"One of the things, I mean motivational interviewing did start out in the addictions field and is widely used there. Traditionally, addiction counselors often have backgrounds as addicts themselves, and there is this hardcore approach of breaking through resistance and denial where people have to be abstinent. This is a very different approach.",T,EvLquWI8aqc_9,0,0,0,0,0,-1
"It is a different approach. The others have certainly been traditional and perhaps for some people those have been effective. But in motivational interviewing, we really want the client to be the one who determines if they have a problem and give them the full opportunity to examine this and establish their own goals. It was quite revolutionary to approach the client from this direction.",T,EvLquWI8aqc_10,1,0,1,0,0,0
