Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"Hey Rachel, how you been?",T,z8L5Nwa0nxc_1,1,1,1,0,0,2
I've been alright. I'm a little frustrated today.,T,z8L5Nwa0nxc_2,0,0,0,0,0,0
"Oh yeah, what's going on?",T,z8L5Nwa0nxc_3,1,1,1,0,0,2
"Well, I just have this client that I've been seeing for a while and he doesn't like to show up on time to our sessions. This is really frustrating me a lot. I've tried talking to him about it, but I'm usually met with an indifference and he just waves me off or gets a little tone. It's been going on so much that I've noticed my frustration towards him is starting to get in the way of our sessions.",T,z8L5Nwa0nxc_4,2,1,1,2,2,2
"Okay, and which client are we talking about?",T,z8L5Nwa0nxc_5,0,0,0,0,0,2
This is David.,T,z8L5Nwa0nxc_6,0,0,0,0,0,2
"Alright, so what's David doing that you find yourself frustrated by?",T,z8L5Nwa0nxc_7,1,1,1,2,1,2
"Just the lack of respect that I feel he's giving me by not showing up on time. He's not taking his own recovery very seriously. It frustrates me to no end and, if I'm being honest, it also just gets me sidetracked thinking about issues with my husband and some of the same things I see on that end too.",T,z8L5Nwa0nxc_8,0,0,0,0,0,2
So some of what David's doing kind of reminds you of some of the things your husband does?,T,z8L5Nwa0nxc_9,1,1,1,2,1,2
Yeah.,T,z8L5Nwa0nxc_10,0,0,0,0,0,2
Any other similarities between David and your husband in terms of behavior?,T,z8L5Nwa0nxc_11,1,1,1,2,1,2
"Well, my client has mentioned to me a couple times about his money situation with his significant other. He likes to spend the money without any regard for how she would feel about that. I've asked him about that in the past and again, I get the indifference, and that does remind me of my husband as well.",T,z8L5Nwa0nxc_12,0,0,0,0,0,2
"Alright, so when you have these moments where you're frustrated with David in session, tell me what happens from that point on.",T,z8L5Nwa0nxc_13,1,1,1,2,1,2
"Usually I'm getting frustrated when I'm looking at the clock and I know he's not going to be there on time, which I feel bad about because I should give him the benefit of the doubt. But then I do end up waiting and by the time he gets there, I'm frustrated. I keep a straight face and I try to draw his attention to it, but when he waves me off or makes a joke, I'm kind of angry inside and I notice that sticks with me while we're in session.",T,z8L5Nwa0nxc_14,0,0,0,0,0,2
"And distracted, what do you think's distracting you? What are you thinking about when you're distracted?",T,z8L5Nwa0nxc_15,1,1,1,2,1,2
How upset I am with him and at times how much he just does remind me of my husband.,T,z8L5Nwa0nxc_16,0,0,0,0,0,2
"So you remember a while back before you were an intern, you took theories of counseling? Do you remember what it's called when a client treats a counselor like somebody else important in the client's life?",T,z8L5Nwa0nxc_17,1,1,1,2,1,2
"Yeah, that would be transference.",T,z8L5Nwa0nxc_18,0,0,0,0,0,2
"Transference, yeah. Do you remember what the opposite of that is called?",T,z8L5Nwa0nxc_19,0,0,0,0,0,2
Countertransference.,T,z8L5Nwa0nxc_20,0,0,0,0,0,2
Countertransference. I see some similarities in what you're talking about with the frustration and the distraction with David and you thinking of your husband. I see some potential countertransference going on. You think that's what's happening?,T,z8L5Nwa0nxc_21,1,1,2,2,1,2
"I do actually. I didn't really think about it too much, but I am making connections there and I think that might be getting in the way. Not to take away from the fact my client still doesn't show up on time, but...",T,z8L5Nwa0nxc_22,1,0,1,1,0,2
"There's legitimate reasons to be frustrated. But from what I understand, because we've had a supervisor relationship that's lasted some months now, you seem more emotionally invested in this with the anger part than I usually see. Is that accurate?",T,z8L5Nwa0nxc_23,1,0,1,2,1,2
"I think so, yeah.",T,z8L5Nwa0nxc_24,0,0,0,0,0,2
So it's possible there's some countertransference going on here.,T,z8L5Nwa0nxc_25,1,0,0,1,0,2
Definitely.,T,z8L5Nwa0nxc_26,0,0,0,0,0,2
"I want you to know this is normal. The important part with countertransference is to recognize it, to have some insight and bring it to supervision. Even though you didn't know the name necessarily, you knew something was off because of these feelings of frustration and anger. Countertransference can be destructive and compromise client care. So we'll work through this and learn from it. You feel you can continue to work with this client now that you know about what might be going on?",T,z8L5Nwa0nxc_27,2,1,1,2,1,2
"I think I can. Now that I'm aware of it, I do believe that I can.",T,z8L5Nwa0nxc_28,1,1,1,1,0,2
"So I'm going to move forward in that direction, but if at any time it seems like this is not manageable anymore, we can always reassign David. It's not a failure, especially at this stage. There's a value in working through it and being aware of it as long as the client's not at risk. So I want to continue on that path and we'll see where it goes.",T,z8L5Nwa0nxc_29,1,1,1,1,0,2
"Alright, that sounds great.",T,z8L5Nwa0nxc_30,1,1,0,0,0,2
I really appreciate you bringing this to my attention.,T,z8L5Nwa0nxc_31,2,2,0,1,1,2
Thank you for listening.,T,z8L5Nwa0nxc_32,2,1,0,1,0,2
Absolutely.,T,z8L5Nwa0nxc_33,2,2,0,1,0,2
